bank_txn_id,bank_date,evidence_category,category,override_applied,override_to_category,amount_cents,amount,debit_account,debit_reason,journal_entry_id
1581,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,64363,643.63,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1581
1582,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,152352,1523.52,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1582
1583,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,7010,70.10,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1583
1584,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,613,6.13,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1584
1585,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,2831,28.31,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1585
1586,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,2607,26.07,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1586
1587,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,1734,17.34,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1587
1588,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,13790,137.90,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1588
1589,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,2644,26.44,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1589
1590,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,2532,25.32,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1590
1591,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,1954,19.54,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1591
1592,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,2995,29.95,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1592
1593,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,1954,19.54,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1593
1594,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,2995,29.95,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1594
1595,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,5913,59.13,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1595
1596,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,16785,167.85,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1596
1597,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,1024,10.24,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1597
1598,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,5216,52.16,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1598
1563,2023-10-24,UNCLASSIFIED,UNCLASSIFIED,0,,7883,78.83,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1563
1557,2023-10-25,UNCLASSIFIED,UNCLASSIFIED,0,,3819,38.19,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1557
1558,2023-10-25,UNCLASSIFIED,UNCLASSIFIED,0,,574,5.74,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1558
1559,2023-10-25,REIMBURSEMENT,REIMBURSEMENT,0,,40919,409.19,2410,clear_due_to_shareholder,BANK_DEBIT_1559
1560,2023-10-25,UNCLASSIFIED,UNCLASSIFIED,0,,137182,1371.82,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1560
1554,2023-10-27,UNCLASSIFIED,UNCLASSIFIED,0,,4022,40.22,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1554
1546,2023-10-30,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,31003,310.03,2000,clear_net_pay_payable,BANK_DEBIT_1546
1547,2023-10-30,UNCLASSIFIED,UNCLASSIFIED,0,,9159,91.59,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1547
1548,2023-10-30,UNCLASSIFIED,UNCLASSIFIED,0,,6404,64.04,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1548
1549,2023-10-30,UNCLASSIFIED,UNCLASSIFIED,0,,4599,45.99,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1549
1550,2023-10-30,UNCLASSIFIED,UNCLASSIFIED,0,,4082,40.82,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1550
1551,2023-10-30,UNCLASSIFIED,UNCLASSIFIED,0,,58657,586.57,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1551
1537,2023-11-01,UNCLASSIFIED,UNCLASSIFIED,0,,197798,1977.98,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1537
1538,2023-11-01,UNCLASSIFIED,UNCLASSIFIED,0,,859,8.59,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1538
1539,2023-11-01,UNCLASSIFIED,UNCLASSIFIED,0,,63181,631.81,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1539
1540,2023-11-01,UNCLASSIFIED,UNCLASSIFIED,0,,194291,1942.91,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1540
1542,2023-11-01,REIMBURSEMENT,REIMBURSEMENT,0,,248119,2481.19,2400,clear_due_to_shareholder,BANK_DEBIT_1542
1533,2023-11-02,UNCLASSIFIED,UNCLASSIFIED,0,,6832,68.32,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1533
1534,2023-11-02,UNCLASSIFIED,UNCLASSIFIED,0,,18442,184.42,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1534
1535,2023-11-02,UNCLASSIFIED,UNCLASSIFIED,0,,715,7.15,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1535
1536,2023-11-02,REIMBURSEMENT,REIMBURSEMENT,0,,8880,88.80,2410,clear_due_to_shareholder,BANK_DEBIT_1536
1529,2023-11-03,UNCLASSIFIED,UNCLASSIFIED,0,,7601,76.01,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1529
1530,2023-11-03,UNCLASSIFIED,UNCLASSIFIED,0,,18539,185.39,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1530
1524,2023-11-06,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,35229,352.29,2000,clear_net_pay_payable,BANK_DEBIT_1524
1526,2023-11-06,CHANGE_FLOAT,CHANGE_FLOAT,0,,26500,265.00,1070,cash_float,BANK_DEBIT_1526
1516,2023-11-08,UNCLASSIFIED,UNCLASSIFIED,0,,13800,138.00,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1516
1517,2023-11-08,UNCLASSIFIED,UNCLASSIFIED,0,,92900,929.00,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1517
1518,2023-11-08,UNCLASSIFIED,UNCLASSIFIED,0,,11092,110.92,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1518
1519,2023-11-08,UNCLASSIFIED,UNCLASSIFIED,0,,5749,57.49,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1519
1520,2023-11-08,UNCLASSIFIED,UNCLASSIFIED,0,,136617,1366.17,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1520
1521,2023-11-08,REIMBURSEMENT,REIMBURSEMENT,0,,123252,1232.52,2410,clear_due_to_shareholder,BANK_DEBIT_1521
1508,2023-11-14,CHANGE_FLOAT,CHANGE_FLOAT,0,,8500,85.00,1070,cash_float,BANK_DEBIT_1508
1509,2023-11-14,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,27140,271.40,2000,clear_net_pay_payable,BANK_DEBIT_1509
1510,2023-11-14,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,5902,59.02,2000,clear_net_pay_payable,BANK_DEBIT_1510
1511,2023-11-14,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,26497,264.97,2000,clear_net_pay_payable,BANK_DEBIT_1511
1506,2023-11-15,UNCLASSIFIED,UNCLASSIFIED,0,,6356,63.56,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1506
1503,2023-11-16,REIMBURSEMENT,REIMBURSEMENT,0,,117102,1171.02,2410,clear_due_to_shareholder,BANK_DEBIT_1503
1504,2023-11-16,REIMBURSEMENT,REIMBURSEMENT,0,,143722,1437.22,2410,clear_due_to_shareholder,BANK_DEBIT_1504
1498,2023-11-20,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,17036,170.36,2000,clear_net_pay_payable,BANK_DEBIT_1498
1494,2023-11-23,UNCLASSIFIED,UNCLASSIFIED,0,,165922,1659.22,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1494
1492,2023-11-24,REIMBURSEMENT,REIMBURSEMENT,0,,86250,862.50,2410,clear_due_to_shareholder,BANK_DEBIT_1492
1487,2023-11-27,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,7747,77.47,2000,clear_net_pay_payable,BANK_DEBIT_1487
1488,2023-11-27,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,21195,211.95,2000,clear_net_pay_payable,BANK_DEBIT_1488
1489,2023-11-27,UNCLASSIFIED,UNCLASSIFIED,0,,14249,142.49,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1489
1485,2023-11-28,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,37267,372.67,2000,clear_net_pay_payable,BANK_DEBIT_1485
1482,2023-11-30,UNCLASSIFIED,UNCLASSIFIED,0,,15899,158.99,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1482
1483,2023-11-30,UNCLASSIFIED,UNCLASSIFIED,0,,1148,11.48,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1483
1469,2023-12-01,UNCLASSIFIED,UNCLASSIFIED,0,,212938,2129.38,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1469
1470,2023-12-01,REIMBURSEMENT,REIMBURSEMENT,0,,10230,102.30,2400,clear_due_to_shareholder,BANK_DEBIT_1470
1471,2023-12-01,UNCLASSIFIED,UNCLASSIFIED,0,,4658,46.58,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1471
1472,2023-12-01,UNCLASSIFIED,UNCLASSIFIED,0,,8212,82.12,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1472
1473,2023-12-01,UNCLASSIFIED,UNCLASSIFIED,0,,1161,11.61,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1473
1474,2023-12-01,UNCLASSIFIED,UNCLASSIFIED,0,,28163,281.63,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1474
1475,2023-12-01,UNCLASSIFIED,UNCLASSIFIED,0,,6782,67.82,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1475
1476,2023-12-01,UNCLASSIFIED,UNCLASSIFIED,0,,6695,66.95,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1476
1477,2023-12-01,REIMBURSEMENT,REIMBURSEMENT,0,,11687,116.87,2410,clear_due_to_shareholder,BANK_DEBIT_1477
1478,2023-12-01,REIMBURSEMENT,REIMBURSEMENT,0,,86250,862.50,2410,clear_due_to_shareholder,BANK_DEBIT_1478
1465,2023-12-04,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,15996,159.96,2000,clear_net_pay_payable,BANK_DEBIT_1465
1466,2023-12-04,UNCLASSIFIED,UNCLASSIFIED,0,,3131,31.31,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1466
1458,2023-12-06,UNCLASSIFIED,UNCLASSIFIED,0,,3562,35.62,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1458
1459,2023-12-06,UNCLASSIFIED,UNCLASSIFIED,0,,3608,36.08,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1459
1460,2023-12-06,UNCLASSIFIED,UNCLASSIFIED,0,,119488,1194.88,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1460
1461,2023-12-06,REIMBURSEMENT,REIMBURSEMENT,0,,12072,120.72,2400,clear_due_to_shareholder,BANK_DEBIT_1461
1455,2023-12-08,UNCLASSIFIED,UNCLASSIFIED,0,,19237,192.37,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1455
1447,2023-12-11,REIMBURSEMENT,REIMBURSEMENT,0,,42635,426.35,2400,clear_due_to_shareholder,BANK_DEBIT_1447
1448,2023-12-11,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,7225,72.25,2000,clear_net_pay_payable,BANK_DEBIT_1448
1449,2023-12-11,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,19462,194.62,2000,clear_net_pay_payable,BANK_DEBIT_1449
1450,2023-12-11,CHANGE_FLOAT,CHANGE_FLOAT,0,,3650,36.50,1070,cash_float,BANK_DEBIT_1450
1451,2023-12-11,CHANGE_FLOAT,CHANGE_FLOAT,0,,14800,148.00,1070,cash_float,BANK_DEBIT_1451
1452,2023-12-11,CHANGE_FLOAT,CHANGE_FLOAT,0,,10000,100.00,1070,cash_float,BANK_DEBIT_1452
1444,2023-12-12,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,47350,473.50,2000,clear_net_pay_payable,BANK_DEBIT_1444
1437,2023-12-19,UNCLASSIFIED,UNCLASSIFIED,0,,121236,1212.36,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1437
1438,2023-12-19,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,14610,146.10,2000,clear_net_pay_payable,BANK_DEBIT_1438
1430,2023-12-27,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,49500,495.00,2000,clear_net_pay_payable,BANK_DEBIT_1430
1431,2023-12-27,SHAREHOLDER_PAYROLL,SHAREHOLDER_PAYROLL,0,,200000,2000.00,2000,clear_net_pay_payable_match:Thomas McCrossin:2023-12-31,BANK_DEBIT_1431
1421,2023-12-28,UNCLASSIFIED,UNCLASSIFIED,0,,2636,26.36,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1421
1422,2023-12-28,UNCLASSIFIED,UNCLASSIFIED,0,,2868,28.68,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1422
1423,2023-12-28,REIMBURSEMENT,REIMBURSEMENT,0,,988,9.88,2410,clear_due_to_shareholder,BANK_DEBIT_1423
1424,2023-12-28,UNCLASSIFIED,UNCLASSIFIED,0,,4181,41.81,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1424
1425,2023-12-28,REIMBURSEMENT,REIMBURSEMENT,0,,12072,120.72,2400,clear_due_to_shareholder,BANK_DEBIT_1425
1426,2023-12-28,UNCLASSIFIED,UNCLASSIFIED,0,,26537,265.37,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1426
1418,2024-01-02,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,17719,177.19,2000,clear_net_pay_payable,BANK_DEBIT_1418
1408,2024-01-04,REIMBURSEMENT,REIMBURSEMENT,0,,21390,213.90,2410,clear_due_to_shareholder,BANK_DEBIT_1408
1409,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,2753,27.53,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1409
1410,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,1432,14.32,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1410
1411,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,3366,33.66,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1411
1412,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,10254,102.54,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1412
1413,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,3560,35.60,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1413
1414,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,4342,43.42,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1414
1415,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,4887,48.87,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1415
1416,2024-01-04,UNCLASSIFIED,UNCLASSIFIED,0,,2753,27.53,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1416
1398,2024-01-08,UNCLASSIFIED,UNCLASSIFIED,0,,3842,38.42,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1398
1399,2024-01-08,UNCLASSIFIED,UNCLASSIFIED,0,,199638,1996.38,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1399
1401,2024-01-08,UNCLASSIFIED,UNCLASSIFIED,0,,7414,74.14,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1401
1402,2024-01-08,UNCLASSIFIED,UNCLASSIFIED,0,,29230,292.30,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1402
1403,2024-01-08,UNCLASSIFIED,UNCLASSIFIED,0,,2010,20.10,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1403
1404,2024-01-08,UNCLASSIFIED,UNCLASSIFIED,0,,2010,20.10,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1404
1393,2024-01-09,UNCLASSIFIED,UNCLASSIFIED,0,,3987,39.87,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1393
1394,2024-01-09,UNCLASSIFIED,UNCLASSIFIED,0,,3449,34.49,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1394
1395,2024-01-09,UNCLASSIFIED,UNCLASSIFIED,0,,2299,22.99,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1395
1396,2024-01-09,REIMBURSEMENT,REIMBURSEMENT,0,,27600,276.00,2410,clear_due_to_shareholder,BANK_DEBIT_1396
1387,2024-01-10,UNCLASSIFIED,UNCLASSIFIED,0,,5876,58.76,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1387
1388,2024-01-10,UNCLASSIFIED,UNCLASSIFIED,0,,19237,192.37,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1388
1390,2024-01-10,REIMBURSEMENT,REIMBURSEMENT,0,,200000,2000.00,2410,clear_due_to_shareholder,BANK_DEBIT_1390
1391,2024-01-10,UNCLASSIFIED,UNCLASSIFIED,0,,28865,288.65,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1391
1382,2024-01-15,RENT_REIMBURSEMENT,RENT_REIMBURSEMENT,0,,86250,862.50,2410,clear_due_to_shareholder,BANK_DEBIT_1382
1380,2024-01-16,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,59218,592.18,2000,clear_net_pay_payable,BANK_DEBIT_1380
1378,2024-01-17,UNCLASSIFIED,UNCLASSIFIED,0,,8497,84.97,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1378
1379,2024-01-17,UNCLASSIFIED,UNCLASSIFIED,0,,3999,39.99,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1379
1364,2024-01-22,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,10159,101.59,2000,clear_net_pay_payable,BANK_DEBIT_1364
1366,2024-01-22,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,4101,41.01,2000,clear_net_pay_payable,BANK_DEBIT_1366
1367,2024-01-22,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,9145,91.45,2000,clear_net_pay_payable,BANK_DEBIT_1367
1368,2024-01-22,UNCLASSIFIED,UNCLASSIFIED,0,,6375,63.75,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1368
1369,2024-01-22,UNCLASSIFIED,UNCLASSIFIED,0,,2892,28.92,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1369
1370,2024-01-22,UNCLASSIFIED,UNCLASSIFIED,0,,10403,104.03,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1370
1371,2024-01-22,UNCLASSIFIED,UNCLASSIFIED,0,,5449,54.49,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1371
