code,description,amount,page,section
8690,. . . . Insurance . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"1,851",14,schedule_125
8710,. . . . Interest . . . . . . and . . . . bank . . . . charges . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"2,218",14,schedule_125
8810,. . . . Office . . . . . expenses . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"1,998",14,schedule_125
8813,. . . . Data . . . . processing . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"1,135",14,schedule_125
8860,. . . . Professional . . . . . . . . . . fees . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,879,14,schedule_125
8911,. . . . Real . . . . estate . . . . . rental . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"8,235",14,schedule_125
8960,. . . . Repairs . . . . . . . and . . . maintenance . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,429,14,schedule_125
9060,. . . . Salaries . . . . . . . and . . . wages . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"23,485",14,schedule_125
9130,. . . . Supplies . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"5,494",14,schedule_125
9131,. . . . Small . . . . . tools . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,23,14,schedule_125
9270,. . . . Other . . . . . expenses . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,71,14,schedule_125
9275,". . . . Delivery, . . . . . . . freight . . . . . . and . . . express . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +",100,14,schedule_125
9281,. . . . Vehicle . . . . . . expenses . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"4,393",15,schedule_125
9367,. . . . Total . . . . operating . . . . . . . . expenses . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"54,406",15,schedule_125
9368,Total expenses =,"162,779",15,schedule_125
