wave_bill_id,invoice_date,vendor_raw,vendor_norm,invoice_number,fuel_cents,method,notes
49,2023-09-12,Canadian Tire Gas - Bill,canadian tire gas bill,,6096,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
273,2024-03-25,Circle K - Bill,circle k bill,,11717,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
281,2024-04-03,Circle K - Bill,circle k bill,,9728,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
296,2024-04-14,Shell Gas - Bill,shell gas bill,,10738,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
341,2024-08-28,Shell Gas - Bill,shell gas bill,,8238,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
362,2024-09-09,Shell Gas - Bill,shell gas bill,,6242,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
385,2024-09-25,Circle K - Bill,circle k bill,,9854,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
411,2024-10-07,Shell Gas - Bill,shell gas bill,,10305,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
428,2024-10-18,Circle K - Bill,circle k bill,,17391,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
453,2024-10-30,Shell Gas - Bill,shell gas bill,,10729,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
714,2024-11-12,Fuel - Receipt,fuel receipt,FUEL-RECEIPT-20241112,3011,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
476,2024-11-13,Irving - Bill,irving bill,,9129,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
489,2024-11-22,Esso - Bill,esso bill,,2610,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
496,2024-11-26,Irving - Bill,irving bill,,5650,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
508,2024-12-04,Esso - Bill,esso bill,,5217,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
513,2024-12-04,Mobil Gas - Bill,mobil gas bill,,10464,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
523,2024-12-11,Circle K - Bill,circle k bill,,11554,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
526,2024-12-12,Esso - Bill,esso bill,,5399,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
530,2024-12-13,Shell Gas - Bill,shell gas bill,,6737,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
534,2024-12-16,Esso - Bill,esso bill,,5217,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
554,2025-01-06,Circle K - Bill,circle k bill,,4299,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
557,2025-01-09,Shell Gas - Bill,shell gas bill,,11424,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
583,2025-01-21,Circle K - Bill,circle k bill,,6051,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
590,2025-01-25,Sobeys - Bill,sobeys bill,,9090,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
593,2025-01-28,Shell Gas - Bill,shell gas bill,,7435,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
602,2025-02-05,Shell Gas - Bill,shell gas bill,,6906,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
609,2025-02-11,Esso - Bill,esso bill,,2609,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
611,2025-02-12,Esso - Bill,esso bill,,12867,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
612,2025-02-12,Esso - Bill,esso bill,,6404,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
624,2025-02-21,Circle K - Bill,circle k bill,,5478,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
631,2025-02-25,Circle K - Bill,circle k bill,,11382,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
715,2025-02-27,Fuel - Receipt,fuel receipt,FUEL-RECEIPT-20250227,5997,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
640,2025-03-07,Circle K - Bill,circle k bill,,4377,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
646,2025-03-09,Shell Gas - Bill,shell gas bill,,11276,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
662,2025-03-19,Petro Can - Bill,petro can bill,,17779,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
677,2025-04-01,Irving - Bill,irving bill,,4639,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
682,2025-04-08,Irving - Bill,irving bill,,9957,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
684,2025-04-11,Irving - Bill,irving bill,,9210,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
688,2025-04-21,Shell Gas - Bill,shell gas bill,,10381,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
702,2025-05-19,Shell Gas - Bill,shell gas bill,,8991,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2025AccountTransactions.csv
