fy,account_code,account_name,account_type,gifi_code,t2125_line,debit,credit,net_cents
FY2025,5010,COGS - Beverage,expense,8518,8518,0.00,536.89,-53689
FY2025,5011,COGS - Beverage - Soda,expense,8518,8518,1982.98,0.00,198298
FY2025,5012,COGS - Beverage - Water,expense,8518,8518,1257.70,0.00,125770
FY2025,5013,COGS - Beverage - Energy Drinks,expense,8518,8518,3435.92,0.00,343592
FY2025,5014,COGS - Beverage - Sports Drinks,expense,8518,8518,7802.50,0.00,780250
FY2025,5015,COGS - Beverage - Juice,expense,8518,8518,169.51,0.00,16951
FY2025,5016,COGS - Beverage - Coffee/Tea,expense,8518,8518,102.76,0.00,10276
FY2025,5017,COGS - Beverage - Milk Products,expense,8518,8518,199.38,0.00,19938
FY2025,5018,COGS - Beverage - Alcohol,expense,8518,8518,46.13,0.00,4613
FY2025,5021,COGS - Supplements - Protein,expense,8518,8518,1503.80,0.00,150380
FY2025,5023,COGS - Supplements - Pre-Workout,expense,8518,8518,344.89,0.00,34489
FY2025,5030,COGS - Retail Goods,expense,8518,8518,0.00,3595.06,-359506
FY2025,5031,COGS - Retail - Snacks/Chips,expense,8518,8518,405.01,0.00,40501
FY2025,5032,COGS - Retail - Candy/Chocolate,expense,8518,8518,8585.97,0.00,858597
FY2025,5033,COGS - Retail - Health Products,expense,8518,8518,217.04,0.00,21704
FY2025,5034,COGS - Retail - Accessories,expense,8518,8518,1604.50,0.00,160450
FY2025,5035,COGS - Retail - Apparel,expense,8518,8518,180.35,0.00,18035
FY2025,5039,COGS - Retail - Other,expense,8518,8518,843.59,0.00,84359
FY2025,5099,COGS - Food - Other,expense,8518,8518,4149.98,0.00,414998
FY2025,5100,Freight In,expense,8518,8518,297.34,0.00,29734
FY2025,5200,Packaging & Supplies,expense,8810,8810,2675.10,0.00,267510
FY2025,5202,Packaging - Bags/Wrapping,expense,8810,8810,46.13,0.00,4613
FY2025,5204,Supplies - Cleaning,expense,8810,8810,1753.45,0.00,175345
FY2025,5205,Supplies - Paper Products,expense,8810,8810,131.11,0.00,13111
FY2025,5206,Supplies - Kitchen,expense,8810,8810,153.80,0.00,15380
FY2025,5209,Supplies - Other,expense,8810,8810,588.16,0.00,58816
FY2025,5300,Merchant Processing Fees,expense,8710,8860,2969.96,0.00,296996
FY2025,6000,Bank Charges & Fees,expense,8710,8690,1122.71,0.00,112271
FY2025,6100,Rent,expense,8911,9200,7136.98,0.00,713698
FY2025,6210,Payment Processing Fees,expense,8710,,2227.26,0.00,222726
FY2025,6230,Utilities - Internet,expense,9220,9136,465.38,0.00,46538
FY2025,6300,Repairs & Maintenance,expense,8960,9281,980.69,0.00,98069
FY2025,6350,Small Tools & Equipment,expense,8810,,479.08,0.00,47908
FY2025,6400,Insurance - Business,expense,8690,9804,1951.00,0.00,195100
FY2025,6500,Advertising & Promotion,expense,8520,8521,597.71,0.00,59771
FY2025,6510,Accounting & Bookkeeping Fees,expense,8860,,284.16,0.00,28416
FY2025,6521,Employee Events,expense,8520,8520,200.00,0.00,20000
FY2025,6550,Shipping & Delivery Expense,expense,9801,,135.76,0.00,13576
FY2025,6600,Office Supplies,expense,8810,9270,5203.50,0.00,520350
FY2025,6610,Computer Hardware Expense,expense,8810,,218.38,0.00,21838
FY2025,6620,Software & SaaS Expense,expense,8810,,358.98,0.00,35898
FY2025,6700,Professional Fees - Accounting,expense,8860,9060,68.55,0.00,6855
FY2025,7000,Salaries & Wages,expense,9060,9060,54898.90,0.00,5489890
FY2025,7100,CPP Employer Portion,expense,8622,9060,3609.84,0.00,360984
FY2025,7110,Meals & Entertainment,expense,8523,8523,408.47,0.00,40847
FY2025,8100,Interest Expense - Bank,expense,8710,8710,374.03,0.00,37403
FY2025,9000,Deposits - Bottle/Container,expense,8518,8518,1149.49,0.00,114949
FY2025,9100,Pending Receipt - No ITC,expense,9270,,3508.12,0.00,350812
FY2025,9150,Penalties - CRA,expense,9270,,273.87,0.00,27387
FY2025,9270,Motor Vehicle Expense - Mileage Reimbursement,expense,9281,,4038.28,0.00,403828
