wave_bill_id,invoice_date,vendor,invoice_number,bill_total_cents,allocation_total_cents,ap_line_cents,journal_entry_id,status
100,2023-10-21,Costco - Bill 22134501402602310211624,22134501402602310211624,137182,137182,137182,WAVE_BILL_ACCRUAL_100,posted
746,2023-10-23,Walmart - Duplicate Reimbursement,WALMART-DUP-001,10410,10410,10410,WAVE_BILL_ACCRUAL_746,posted
747,2023-10-23,Dollarama - Duplicate Reimbursement,DOLLARAMA-DUP-001,53875,53875,53875,WAVE_BILL_ACCRUAL_747,posted
101,2023-10-24,C.E. Harrison Home Hardware - Bill,,3366,3366,3366,WAVE_BILL_ACCRUAL_101,posted
102,2023-10-24,C.E. Harrison Home Hardware - Bill,,1432,1432,1432,WAVE_BILL_ACCRUAL_102,posted
103,2023-10-24,C.E. Harrison Home Hardware - Bill,,2753,2753,2753,WAVE_BILL_ACCRUAL_103,posted
104,2023-10-24,Mondoux - Bill 8100383,8100383,40919,40919,40919,WAVE_BILL_ACCRUAL_104,posted
105,2023-10-25,GFS - Bill 9004092329,9004092329,4859,4859,4859,WAVE_BILL_ACCRUAL_105,posted
106,2023-10-25,Black Cat Importers - Bill 19963,19963,63181,63181,63181,WAVE_BILL_ACCRUAL_106,posted
107,2023-10-26,GFS - Bill 9004106655,9004106655,85957,85957,85957,WAVE_BILL_ACCRUAL_107,posted
108,2023-10-27,Costco - Bill 22134501301362310271311,22134501301362310271311,197798,197798,197798,WAVE_BILL_ACCRUAL_108,posted
109,2023-10-27,GFS - Bill 9004135560,9004135560,43027,43027,43027,WAVE_BILL_ACCRUAL_109,posted
748,2023-10-28,Dollarama - Bill,DOLLARAMA-1028,8880,8880,8880,WAVE_BILL_ACCRUAL_748,posted
110,2023-10-31,Exotics Wholesale - Bill EW2762,,248119,248119,248119,WAVE_BILL_ACCRUAL_110,posted
111,2023-11-01,Town of Amherst - Bill,,86250,86250,86250,WAVE_BILL_ACCRUAL_111,posted
112,2023-11-01,Amazon - Bill,,2299,2299,2299,WAVE_BILL_ACCRUAL_112,posted
113,2023-11-02,Costco - Bill 22134500804842311022002,22134500804842311022002,136617,136617,136617,WAVE_BILL_ACCRUAL_113,posted
114,2023-11-02,Costco - Bill 22134519400272311021858,22134519400272311021858,13800,13800,13800,WAVE_BILL_ACCRUAL_114,posted
115,2023-11-02,GFS - Bill 9004259902,9004259902,88092,88092,88092,WAVE_BILL_ACCRUAL_115,posted
116,2023-11-03,GFS - Bill 9004309092,9004309092,14495,14495,14495,WAVE_BILL_ACCRUAL_116,posted
117,2023-11-03,GFS - Bill 9004290341,9004290341,42085,42085,42085,WAVE_BILL_ACCRUAL_117,posted
118,2023-11-03,Dollarama - Bill 161.21,161,18539,18539,18539,WAVE_BILL_ACCRUAL_118,posted
119,2023-11-03,Atlantic Superstore - Bill,,7601,7601,7601,WAVE_BILL_ACCRUAL_119,posted
120,2023-11-04,Atlantic Superstore - Bill,,11092,11092,11092,WAVE_BILL_ACCRUAL_120,posted
749,2023-11-06,Jeff Bembridge - Sauces,BEMBRIDGE-SAUCES-001,2000,2000,2000,WAVE_BILL_ACCRUAL_749,posted
121,2023-11-07,Curly's Sports and Supplements - Bill D17,,123251,123251,123251,WAVE_BILL_ACCRUAL_121,posted
122,2023-11-08,GFS - Bill 9004423490,9004423490,55960,55960,55960,WAVE_BILL_ACCRUAL_122,posted
123,2023-11-08,Amherst Country Store - Bill,,5749,5749,5749,WAVE_BILL_ACCRUAL_123,posted
124,2023-11-10,Costco - Bill 22134501203702311101654,22134501203702311101654,165922,165922,165922,WAVE_BILL_ACCRUAL_124,posted
125,2023-11-15,Mondoux - Bill,,33135,33135,33135,WAVE_BILL_ACCRUAL_125,posted
126,2023-11-16,GFS - Bill 9005534423,9005534423,200000,200000,200000,WAVE_BILL_ACCRUAL_126,posted
127,2023-11-16,GFS - Bill 9004638160,9004638160,96645,96645,96645,WAVE_BILL_ACCRUAL_127,posted
750,2023-11-16,Curly's Sports and Supplements - Bill 1994069,1994069,117102,117102,117102,WAVE_BILL_ACCRUAL_750,posted
751,2023-11-16,Curly's Sports and Supplements - Order 1996469,1996469,143722,143722,143722,WAVE_BILL_ACCRUAL_751,posted
128,2023-11-17,Costco - Bill 22134500703462311171643,22134500703462311171643,212938,212938,212938,WAVE_BILL_ACCRUAL_128,posted
129,2023-11-17,GFS - Bill 9004686201,9004686201,25354,25354,25354,WAVE_BILL_ACCRUAL_129,posted
130,2023-11-17,Costco - Bill,,10230,10230,10230,WAVE_BILL_ACCRUAL_130,posted
752,2023-11-17,Dollarama - Bill,DOLLARAMA-1117,11687,11687,11687,WAVE_BILL_ACCRUAL_752,posted
131,2023-11-20,Capital Foods - Bill 2530298,2530298,92900,92900,92900,WAVE_BILL_ACCRUAL_131,posted
132,2023-11-24,GFS - Bill 9004838078,9004838078,62755,62755,62755,WAVE_BILL_ACCRUAL_132,posted
133,2023-11-25,Canada Mats - Bill,,14249,14249,14249,WAVE_BILL_ACCRUAL_133,posted
134,2023-11-28,Amazon - Bill,,15899,15899,15899,WAVE_BILL_ACCRUAL_134,posted
135,2023-11-30,Amazon - Bill,,1148,1148,1148,WAVE_BILL_ACCRUAL_135,posted
136,2023-12-01,Town of Amherst - Bill,,86250,86250,86250,WAVE_BILL_ACCRUAL_136,posted
137,2023-12-01,GFS - Bill 9005011016,9005011016,45254,45254,45254,WAVE_BILL_ACCRUAL_137,posted
138,2023-12-03,Costco - Bill 22134500801272312031227,22134500801272312031227,119488,119488,119488,WAVE_BILL_ACCRUAL_138,posted
139,2023-12-04,Gov't of Nova Scotia - Bill TR1004676,,27410,27410,27410,WAVE_BILL_ACCRUAL_139,posted
140,2023-12-05,Pharmasave - Bill,,3608,3608,3608,WAVE_BILL_ACCRUAL_140,posted
710,2023-12-06,Fuel - Triangle,FUEL-TRIANGLE-20231206,12072,12072,12072,WAVE_BILL_ACCRUAL_710,posted
141,2023-12-07,GFS - Bill 9005163888,9005163888,93692,93692,93692,WAVE_BILL_ACCRUAL_141,posted
142,2023-12-08,GFS - Bill 9005216555,9005216555,46453,46453,46453,WAVE_BILL_ACCRUAL_142,posted
143,2023-12-08,Costco - Bill 22134500703182312081530,22134500703182312081530,121236,121236,121236,WAVE_BILL_ACCRUAL_143,posted
144,2023-12-11,Capital Foods - Bill 2536709,2536709,91733,91733,91733,WAVE_BILL_ACCRUAL_144,posted
145,2023-12-11,Mondoux - Bill,,42635,42635,42635,WAVE_BILL_ACCRUAL_145,posted
146,2023-12-12,GFS - Bill 9005299395,9005299395,63072,63072,63072,WAVE_BILL_ACCRUAL_146,posted
745,2023-12-12,Hockey Sponsorship - Tim Rich,HOCKEY-DONATION-2023,20000,20000,20000,WAVE_BILL_ACCRUAL_745,posted
147,2023-12-14,GFS - Bill 9005357713,9005357713,155701,155701,155701,WAVE_BILL_ACCRUAL_147,posted
707,2023-12-18,GFS Credit Memo 9005357713,9005357713-CR,-68034,-68034,-68034,WAVE_BILL_ACCRUAL_707,posted
777,2023-12-18,GFS,2000800832,-68034,-68034,-68034,WAVE_BILL_ACCRUAL_777,posted
148,2023-12-19,GFS - Bill 9005510560,9005510560,47583,47583,47583,WAVE_BILL_ACCRUAL_148,posted
711,2023-12-28,Fuel - Triangle,FUEL-TRIANGLE-20231228,12072,12072,12072,WAVE_BILL_ACCRUAL_711,posted
150,2023-12-29,GFS - Bill 9005693526,9005693526,40934,40934,40934,WAVE_BILL_ACCRUAL_150,posted
151,2023-12-31,Shopify - Bill canteen order screen,,12818,12818,12818,WAVE_BILL_ACCRUAL_151,posted
152,2023-12-31,CIBC - Bill,,19500,19500,19500,WAVE_BILL_ACCRUAL_152,posted
153,2024-01-04,Ali Express - Bill,,3169,3169,3169,WAVE_BILL_ACCRUAL_153,posted
154,2024-01-04,Ali Express - Bill,,1017,1017,1017,WAVE_BILL_ACCRUAL_154,posted
155,2024-01-04,Ali Express - Bill,,2005,2005,2005,WAVE_BILL_ACCRUAL_155,posted
156,2024-01-04,Ali Express - Bill,,820,820,820,WAVE_BILL_ACCRUAL_156,posted
753,2024-01-04,The Keg - Staff Party,KEG-STAFF-PARTY,21390,21390,21390,WAVE_BILL_ACCRUAL_753,posted
157,2024-01-05,Pharmasave - Bill,,7414,7414,7414,WAVE_BILL_ACCRUAL_157,posted
158,2024-01-05,Dollarama - Bill,,31240,31240,31240,WAVE_BILL_ACCRUAL_158,posted
159,2024-01-05,GFS - Bill 9005827880,9005827880,68371,68371,68371,WAVE_BILL_ACCRUAL_159,posted
160,2024-01-05,Atlantic Superstore - Bill,,28865,28865,28865,WAVE_BILL_ACCRUAL_160,posted
161,2024-01-06,Costco - Bill,,199638,199638,199638,WAVE_BILL_ACCRUAL_161,posted
162,2024-01-06,Pharmasave - Bill,,3842,3842,3842,WAVE_BILL_ACCRUAL_162,posted
163,2024-01-07,Atlantic Superstore - Bill,,6375,6375,6375,WAVE_BILL_ACCRUAL_163,posted
164,2024-01-08,GFS - Bill 9005873404,9005873404,97709,97709,97709,WAVE_BILL_ACCRUAL_164,posted
165,2024-01-09,Curly's Sports and Supplements - Bill 2220169,2220169,27600,27600,27600,WAVE_BILL_ACCRUAL_165,posted
166,2024-01-14,GFS - Bill 9005546522,9005546522,40000,40000,40000,WAVE_BILL_ACCRUAL_166,posted
167,2024-01-14,Pharmasave - Bill,,738,738,738,WAVE_BILL_ACCRUAL_167,posted
168,2024-01-16,Amazon - Bill,,3999,3999,3999,WAVE_BILL_ACCRUAL_168,posted
169,2024-01-16,Amazon - Bill,,8497,8497,8497,WAVE_BILL_ACCRUAL_169,posted
170,2024-01-18,Walmart - Bill,,4823,4823,4823,WAVE_BILL_ACCRUAL_170,posted
171,2024-01-18,GFS - Bill 9006132497,9006132497,60156,60156,60156,WAVE_BILL_ACCRUAL_171,posted
172,2024-01-19,Costco - Bill 22134500602282401191441,22134500602282401191441,152197,152197,152197,WAVE_BILL_ACCRUAL_172,posted
173,2024-01-20,Pharmasave - Bill,,5449,5449,5449,WAVE_BILL_ACCRUAL_173,posted
174,2024-01-20,Pharmasave - Bill,,738,738,738,WAVE_BILL_ACCRUAL_174,posted
175,2024-01-20,Pharmasave - Bill,,2892,2892,2892,WAVE_BILL_ACCRUAL_175,posted
176,2024-01-22,Capital Foods - Bill 2542814,2542814,93890,93890,93890,WAVE_BILL_ACCRUAL_176,posted
744,2024-01-22,BFL Insurance - Bill 2024,BFL-2024,185100,185100,185100,WAVE_BILL_ACCRUAL_744,posted
177,2024-01-23,Dollarama - Bill,,1179,1179,1179,WAVE_BILL_ACCRUAL_177,posted
178,2024-01-24,Digital Inspiration - Bill,,14038,14038,14038,WAVE_BILL_ACCRUAL_178,posted
179,2024-01-24,Costco - Bill,,148980,148980,148980,WAVE_BILL_ACCRUAL_179,posted
180,2024-01-25,Pharmasave - Bill,,1107,1107,1107,WAVE_BILL_ACCRUAL_180,posted
181,2024-01-25,Pharmasave - Bill,,2588,2588,2588,WAVE_BILL_ACCRUAL_181,posted
182,2024-01-25,GFS - Bill 9006298062,9006298062,87739,87739,87739,WAVE_BILL_ACCRUAL_182,posted
770,2024-01-25,GFS,9006305521,9718,9718,9718,WAVE_BILL_ACCRUAL_770,posted
771,2024-01-26,GFS,9006340884,41676,41676,41676,WAVE_BILL_ACCRUAL_771,posted
183,2024-01-27,My Commerce - Bill,,6780,6780,6780,WAVE_BILL_ACCRUAL_183,posted
184,2024-01-27,Circle K - Bill,,3013,3013,3013,WAVE_BILL_ACCRUAL_184,posted
185,2024-01-27,Bimbo Canada - Bill,,8384,8384,8384,WAVE_BILL_ACCRUAL_185,posted
186,2024-01-27,Atlantic Superstore - Bill,,5352,5352,5352,WAVE_BILL_ACCRUAL_186,posted
769,2024-01-29,Facebook Marketplace - Hot Water Heater,FB-HOTWATER-HEATER-20240129,4000,4000,4000,WAVE_BILL_ACCRUAL_769,posted
187,2024-01-31,Town of Amherst - Bill January Rent,,86250,86250,86250,WAVE_BILL_ACCRUAL_187,posted
188,2024-02-01,GFS - Bill 9006467889,9006467889,93305,93305,93305,WAVE_BILL_ACCRUAL_188,posted
189,2024-02-01,Costco - Bill,,187393,187393,187393,WAVE_BILL_ACCRUAL_189,posted
190,2024-02-01,Esso - Bill,,4001,4001,4001,WAVE_BILL_ACCRUAL_190,posted
191,2024-02-01,Town of Amherst - Bill FEbruary REnt,,86250,86250,86250,WAVE_BILL_ACCRUAL_191,posted
192,2024-02-03,Pharmasave - Bill,,8203,8203,8203,WAVE_BILL_ACCRUAL_192,posted
193,2024-02-07,GFS - Bill 9006623852,9006623852,46712,46712,46712,WAVE_BILL_ACCRUAL_193,posted
194,2024-02-07,Dollarama - Bill,,20593,20593,20593,WAVE_BILL_ACCRUAL_194,posted
195,2024-02-07,GFS - Bill,,20000,20000,20000,WAVE_BILL_ACCRUAL_195,posted
196,2024-02-08,Canadian Tire Gas - Bill,,5743,5743,5743,WAVE_BILL_ACCRUAL_196,posted
197,2024-02-09,Atlantic Superstore - Bill,,24971,24971,24971,WAVE_BILL_ACCRUAL_197,posted
198,2024-02-09,GFS - Bill 9006683806,9006683806,10343,10343,10343,WAVE_BILL_ACCRUAL_198,posted
199,2024-02-10,Pharmasave - Bill,,4140,4140,4140,WAVE_BILL_ACCRUAL_199,posted
200,2024-02-10,Atlantic Superstore - Bill,,3619,3619,3619,WAVE_BILL_ACCRUAL_200,posted
201,2024-02-11,Gov't of Nova Scotia - Bill TR1111807,,6105,6105,6105,WAVE_BILL_ACCRUAL_201,posted
202,2024-02-11,Pharmasave - Bill,,1300,1300,1300,WAVE_BILL_ACCRUAL_202,posted
203,2024-02-11,Walmart - Bill,,1147,1147,1147,WAVE_BILL_ACCRUAL_203,posted
204,2024-02-12,GFS - Bill 9006727793,9006727793,107190,107190,107190,WAVE_BILL_ACCRUAL_204,posted
205,2024-02-14,Circle K - Bill,,13335,13335,13335,WAVE_BILL_ACCRUAL_205,posted
206,2024-02-15,Wholesale Club - Bill,,96143,96143,96143,WAVE_BILL_ACCRUAL_206,posted
207,2024-02-15,Jeff Bembridge - Bill,,2000,2000,2000,WAVE_BILL_ACCRUAL_207,posted
208,2024-02-15,IFoodEquipment - Bill,,10554,10554,10554,WAVE_BILL_ACCRUAL_208,posted
209,2024-02-15,Cafe Archibald - Bill,,5292,5292,5292,WAVE_BILL_ACCRUAL_209,posted
210,2024-02-15,Costco - Bill,,224931,224931,224931,WAVE_BILL_ACCRUAL_210,posted
211,2024-02-16,Atlantic Superstore - Bill,,5996,5996,5996,WAVE_BILL_ACCRUAL_211,posted
212,2024-02-16,Pharmasave - Bill,,2370,2370,2370,WAVE_BILL_ACCRUAL_212,posted
213,2024-02-17,Pharmasave - Bill,,16663,16663,16663,WAVE_BILL_ACCRUAL_213,posted
214,2024-02-17,Dollarama - Bill,,36076,36076,36076,WAVE_BILL_ACCRUAL_214,posted
215,2024-02-17,Pharmasave - Bill,,5061,5061,5061,WAVE_BILL_ACCRUAL_215,posted
216,2024-02-18,GFS - Bill 9006903744,9006903744,135781,135781,135781,WAVE_BILL_ACCRUAL_216,posted
217,2024-02-18,Christmas Discounters - Bill,,11982,11982,11982,WAVE_BILL_ACCRUAL_217,posted
218,2024-02-18,Atlantic Superstore - Bill,,38101,38101,38101,WAVE_BILL_ACCRUAL_218,posted
219,2024-02-19,Pharmasave - Bill,,5130,5130,5130,WAVE_BILL_ACCRUAL_219,posted
220,2024-02-19,GFS - Bill 9006903547,9006903547,21588,21588,21588,WAVE_BILL_ACCRUAL_220,posted
221,2024-02-20,Electric Kitty - Bill,,110000,110000,110000,WAVE_BILL_ACCRUAL_221,posted
222,2024-02-22,GFS - Bill 9007010687,9007010687,35019,35019,35019,WAVE_BILL_ACCRUAL_222,posted
223,2024-02-22,Curly's Sports and Supplements - Bill 2365969,2365969,22942,22942,22942,WAVE_BILL_ACCRUAL_223,posted
754,2024-02-22,John Manley - Plastic Forks,MANLEY-FORKS,2069,2069,2069,WAVE_BILL_ACCRUAL_754,posted
224,2024-02-23,GFS - Bill 9007044619,9007044619,5949,5949,5949,WAVE_BILL_ACCRUAL_224,posted
225,2024-02-24,Shell Gas - Bill,,13576,13576,13576,WAVE_BILL_ACCRUAL_225,posted
