cc_txn_id,txn_date,txn_type,amount,amount_cents,merchant,vendor_key,net_cents,tax_cents,mapping,journal_entry_id
1823,2023-06-29,PURCHASE,61.05,6105,REGISTRY OF JOINT,,6105,0,default:cogs_supplements,CC_PURCHASE_1823
1824,2023-06-29,PURCHASE,61.05,6105,REGISTRY OF JOINT,,6105,0,default:cogs_supplements,CC_PURCHASE_1824
1817,2023-06-30,PURCHASE,1627.36,162736,CONQUER ALL NUTRITION,,162736,0,default:cogs_supplements,CC_PURCHASE_1817
1813,2023-07-04,PURCHASE,2.47,247,FREIGHTCOM INC. BOLTON,,247,0,keyword:freight,CC_PURCHASE_1813
1814,2023-07-04,PURCHASE,1848.60,184860,TC NUTRA 3062907457,,184860,0,default:cogs_supplements,CC_PURCHASE_1814
1815,2023-07-04,PURCHASE,15.60,1560,GOOGLE*GSUITE CURLYS.C CC,,1560,0,default:cogs_supplements,CC_PURCHASE_1815
1816,2023-07-04,PURCHASE,5.62,562,"FACEBK SKN5GR7UN2 650-5434800,",,562,0,default:cogs_supplements,CC_PURCHASE_1816
1807,2023-07-05,PURCHASE,138.00,13800,WWW COSTCO CA,COSTCO,13800,0,VENDOR_PROFILE,CC_PURCHASE_1807
1808,2023-07-05,PURCHASE,14.85,1485,FREIGHTCOM INC. BOLTON,,1485,0,keyword:freight,CC_PURCHASE_1808
1811,2023-07-05,REFUND,90.00,9000,SHOPPING WITH POINTS/ACHA,,9000,0,default:cogs_supplements,CC_PURCHASE_1811
1812,2023-07-05,PURCHASE,832.63,83263,ISWEET 4168234030,,83263,0,default:cogs_supplements,CC_PURCHASE_1812
1801,2023-07-06,PURCHASE,129.03,12903,NOVA SCOTIA PWR/EZ-PAY,,12903,0,default:cogs_supplements,CC_PURCHASE_1801
1802,2023-07-06,PURCHASE,2.26,226,KUBRA/EZ-PAY 905-624-2220,,226,0,default:cogs_supplements,CC_PURCHASE_1802
1803,2023-07-06,PURCHASE,18.08,1808,FREIGHTCOM INC. BOLTON,,1808,0,keyword:freight,CC_PURCHASE_1803
1804,2023-07-06,PURCHASE,1263.71,126371,MARVIN CANDY &,,126371,0,default:cogs_supplements,CC_PURCHASE_1804
1805,2023-07-06,PURCHASE,90.00,9000,ROCKY HEALTH BRAMPTON,,9000,0,default:cogs_supplements,CC_PURCHASE_1805
1806,2023-07-06,PURCHASE,794.88,79488,JE HASTINGS LIMITED,,79488,0,default:cogs_supplements,CC_PURCHASE_1806
1794,2023-07-07,REFUND,34.49,3449,AMZ*AGILEUS WWW.AMAZON.CA,,3449,0,default:cogs_supplements,CC_PURCHASE_1794
1796,2023-07-07,PURCHASE,1238.12,123812,PESCIENCE 8888850195,,123812,0,default:cogs_supplements,CC_PURCHASE_1796
1797,2023-07-07,PURCHASE,14.19,1419,FREIGHTCOM INC. BOLTON,,1419,0,keyword:freight,CC_PURCHASE_1797
1798,2023-07-07,PURCHASE,72.69,7269,CDN TIRE STORE,,7269,0,default:cogs_supplements,CC_PURCHASE_1798
1799,2023-07-07,PURCHASE,5.13,513,CDN TIRE STORE,,513,0,default:cogs_supplements,CC_PURCHASE_1799
1800,2023-07-07,PURCHASE,6.85,685,CDN TIRE STORE,,685,0,default:cogs_supplements,CC_PURCHASE_1800
1792,2023-07-10,PURCHASE,56.99,5699,MTY GROUP /,,5699,0,default:cogs_supplements,CC_PURCHASE_1792
1787,2023-07-11,PURCHASE,31.57,3157,"CHATGPT SUBSCRIPTION OPENAI.COM,",,3157,0,default:cogs_supplements,CC_PURCHASE_1787
1788,2023-07-11,PURCHASE,13.37,1337,FREIGHTCOM INC. BOLTON,,1337,0,keyword:freight,CC_PURCHASE_1788
1789,2023-07-11,PURCHASE,16.87,1687,FREIGHTCOM INC. BOLTON,,1687,0,keyword:freight,CC_PURCHASE_1789
1790,2023-07-11,PURCHASE,15.00,1500,FREIGHTCOM INC. BOLTON,,1500,0,keyword:freight,CC_PURCHASE_1790
1791,2023-07-11,PURCHASE,46.15,4615,SOBEYS #729 AMHERST,,4615,0,default:cogs_supplements,CC_PURCHASE_1791
1785,2023-07-12,PURCHASE,451.15,45115,MARITIME ONTARIO FREIGHT,,45115,0,keyword:freight,CC_PURCHASE_1785
1782,2023-07-13,PURCHASE,13.46,1346,FREIGHTCOM INC. BOLTON,,1346,0,keyword:freight,CC_PURCHASE_1782
1783,2023-07-13,PURCHASE,17.18,1718,FREIGHTCOM INC. BOLTON,,1718,0,keyword:freight,CC_PURCHASE_1783
1784,2023-07-13,PURCHASE,3629.98,362998,GROSNOR DISTRIBUTION AJAX,,362998,0,default:cogs_supplements,CC_PURCHASE_1784
1781,2023-07-14,PURCHASE,335.91,33591,FREIGHTCOM INC. BOLTON,,33591,0,keyword:freight,CC_PURCHASE_1781
1780,2023-07-17,PURCHASE,15.95,1595,GROSNOR DISTRIBUTION AJAX,,1595,0,default:cogs_supplements,CC_PURCHASE_1780
1779,2023-07-19,PURCHASE,1236.35,123635,YUMMY SPORTS DELSON,,123635,0,default:cogs_supplements,CC_PURCHASE_1779
1777,2023-07-21,PURCHASE,1368.50,136850,NUTRITION CLUB 705-474-4031,,136850,0,default:cogs_supplements,CC_PURCHASE_1777
4154,2023-07-24,PURCHASE,10.34,1034,COSTCO WHOLESALE W1345,COSTCO,1034,0,VENDOR_PROFILE,CC_PURCHASE_4154
1772,2023-07-26,PURCHASE,2688.00,268800,AK PERFORMA SERVICES,,268800,0,default:cogs_supplements,CC_PURCHASE_1772
1774,2023-07-26,PURCHASE,12.64,1264,APPLE.COM/BILL 866-712-7753,,1264,0,default:cogs_supplements,CC_PURCHASE_1774
1775,2023-07-26,PURCHASE,1217.85,121785,GROSNOR DISTRIBUTION AJAX,,121785,0,default:cogs_supplements,CC_PURCHASE_1775
1776,2023-07-26,PURCHASE,117.23,11723,CDN TIRE STORE,,11723,0,default:cogs_supplements,CC_PURCHASE_1776
1771,2023-07-27,PURCHASE,27.59,2759,AMHERST SUPERSTORE #31,ATLANTIC_SUPERSTORE,2759,0,VENDOR_PROFILE,CC_PURCHASE_1771
1769,2023-07-28,PURCHASE,27.59,2759,CDN TIRE STORE,,2759,0,default:cogs_supplements,CC_PURCHASE_1769
1770,2023-07-28,PURCHASE,9.73,973,GROSNOR DISTRIBUTION AJAX,,973,0,default:cogs_supplements,CC_PURCHASE_1770
1767,2023-07-31,PURCHASE,17.65,1765,FREIGHTCOM INC. BOLTON,,1765,0,keyword:freight,CC_PURCHASE_1767
1768,2023-07-31,PURCHASE,15.33,1533,FREIGHTCOM INC. BOLTON,,1533,0,keyword:freight,CC_PURCHASE_1768
1764,2023-08-01,PURCHASE,26.44,2644,AMAZON.CA*TH63J5P41 AMAZON.CA,,2644,0,default:cogs_supplements,CC_PURCHASE_1764
1765,2023-08-01,PURCHASE,829.74,82974,SP HEALANDCO.CO WHISTLER,,82974,0,default:cogs_supplements,CC_PURCHASE_1765
1766,2023-08-01,PURCHASE,45.77,4577,"FACEBK LZZN9U7TN2 650-5434800,",,4577,0,default:cogs_supplements,CC_PURCHASE_1766
1758,2023-08-02,PURCHASE,462.09,46209,BELL ALIANT ONLINE,,46209,0,default:cogs_supplements,CC_PURCHASE_1758
1759,2023-08-02,PURCHASE,15.60,1560,GOOGLE *GSUITE_CURLYS. 855-222-8603,,1560,0,default:cogs_supplements,CC_PURCHASE_1759
1760,2023-08-02,PURCHASE,168.07,16807,NOVA SCOTIA PWR/EZ-PAY,,16807,0,default:cogs_supplements,CC_PURCHASE_1760
1761,2023-08-02,PURCHASE,2.94,294,KUBRA/EZ-PAY 905-624-2220,,294,0,default:cogs_supplements,CC_PURCHASE_1761
1762,2023-08-02,PURCHASE,196.65,19665,SP HEALANDCO.CO WHISTLER,,19665,0,default:cogs_supplements,CC_PURCHASE_1762
1763,2023-08-02,PURCHASE,819.95,81995,ISWEET 4168234030,,81995,0,default:cogs_supplements,CC_PURCHASE_1763
1757,2023-08-03,REFUND,260.48,26048,SHOPPING WITH POINTS/ACHA,,26048,0,default:cogs_supplements,CC_PURCHASE_1757
1752,2023-08-04,PURCHASE,673.99,67399,PACIFIC DISTRIBUTION WHOL,,67399,0,default:cogs_supplements,CC_PURCHASE_1752
1755,2023-08-04,PURCHASE,98.85,9885,KENT AMHERST AMHERST,,9885,0,keyword:kent_repairs,CC_PURCHASE_1755
1747,2023-08-08,PURCHASE,443.04,44304,PURCHASE INTEREST,,44304,0,default:cogs_supplements,CC_PURCHASE_1747
1748,2023-08-08,PURCHASE,1744.66,174466,IN *INNOVA LOGISTICS,,174466,0,default:cogs_supplements,CC_PURCHASE_1748
1749,2023-08-08,PURCHASE,41.49,4149,HIGHLAND MARKET AMHERST,,4149,0,default:cogs_supplements,CC_PURCHASE_1749
1750,2023-08-08,PURCHASE,90.00,9000,ROCKY HEALTH BRAMPTON,,9000,0,default:cogs_supplements,CC_PURCHASE_1750
1751,2023-08-08,PURCHASE,22.45,2245,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,2245,0,VENDOR_PROFILE,CC_PURCHASE_1751
1742,2023-08-09,REFUND,1.75,175,INTEREST REVERSAL,,175,0,default:cogs_supplements,CC_PURCHASE_1742
1743,2023-08-09,PURCHASE,98.84,9884,BELL ALIANT OBB,,9884,0,default:cogs_supplements,CC_PURCHASE_1743
1744,2023-08-09,PURCHASE,2310.77,231077,BELIEVESUPP 4508001414,,231077,0,default:cogs_supplements,CC_PURCHASE_1744
1746,2023-08-09,REFUND,1.31,131,INTEREST REVERSAL,,131,0,default:cogs_supplements,CC_PURCHASE_1746
1736,2023-08-10,PURCHASE,750.84,75084,PURITY LIFE HEALTH,,75084,0,default:cogs_supplements,CC_PURCHASE_1736
1738,2023-08-10,PURCHASE,5159.19,515919,GROSNOR DISTRIBUTION AJAX,,515919,0,default:cogs_supplements,CC_PURCHASE_1738
1739,2023-08-10,REFUND,110.40,11040,BELIEVESUPP 4508001414,,11040,0,default:cogs_supplements,CC_PURCHASE_1739
1740,2023-08-10,PURCHASE,42.29,4229,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,4229,0,VENDOR_PROFILE,CC_PURCHASE_1740
1735,2023-08-11,PURCHASE,31.72,3172,"CHATGPT SUBSCRIPTION OPENAI.COM,",,3172,0,default:cogs_supplements,CC_PURCHASE_1735
1729,2023-08-14,PURCHASE,1.14,114,APPLE.COM/BILL 866-712-7753,,114,0,default:cogs_supplements,CC_PURCHASE_1729
1730,2023-08-14,PURCHASE,643.68,64368,MONCTONCASH&CARRY#301 MONCTON,,64368,0,default:cogs_supplements,CC_PURCHASE_1730
1731,2023-08-14,PURCHASE,60.09,6009,DOLLARAMA # 209,,6009,0,keyword:dollarama,CC_PURCHASE_1731
1732,2023-08-14,PURCHASE,48.71,4871,MAIN ST SACKVILLE,,4871,0,default:cogs_supplements,CC_PURCHASE_1732
1733,2023-08-14,PURCHASE,57.08,5708,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,5708,0,VENDOR_PROFILE,CC_PURCHASE_1733
1734,2023-08-14,PURCHASE,8.59,859,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,859,0,VENDOR_PROFILE,CC_PURCHASE_1734
4150,2023-08-14,REFUND,60.00,6000,BONUS OFFER OFFRE,,6000,0,default:cogs_supplements,CC_PURCHASE_4150
4152,2023-08-14,PURCHASE,582.38,58238,COSTCO WHOLESALE W1345,COSTCO,58238,0,VENDOR_PROFILE,CC_PURCHASE_4152
1723,2023-08-15,PURCHASE,2921.47,292147,FIT FOODS LTD.,,292147,0,default:cogs_supplements,CC_PURCHASE_1723
1725,2023-08-15,PURCHASE,16.88,1688,FREIGHTCOM INC. BOLTON,,1688,0,keyword:freight,CC_PURCHASE_1725
1726,2023-08-15,PURCHASE,10.53,1053,FREIGHTCOM INC. BOLTON,,1053,0,keyword:freight,CC_PURCHASE_1726
1717,2023-08-16,PURCHASE,13.76,1376,FREIGHTCOM INC. BOLTON,,1376,0,keyword:freight,CC_PURCHASE_1717
1718,2023-08-16,PURCHASE,23.25,2325,FREIGHTCOM INC. BOLTON,,2325,0,keyword:freight,CC_PURCHASE_1718
1720,2023-08-16,PURCHASE,10.81,1081,FREIGHTCOM INC. BOLTON,,1081,0,keyword:freight,CC_PURCHASE_1720
1721,2023-08-16,PURCHASE,50.51,5051,KENT AMHERST AMHERST,,5051,0,keyword:kent_repairs,CC_PURCHASE_1721
1722,2023-08-16,PURCHASE,93.60,9360,CDN TIRE STORE,,9360,0,default:cogs_supplements,CC_PURCHASE_1722
1712,2023-08-17,PURCHASE,4.11,411,MIKES DRIVE THRU,,411,0,default:cogs_supplements,CC_PURCHASE_1712
1715,2023-08-17,PURCHASE,1374.91,137491,SUPPLEMENT FACTS OTTAWA,,137491,0,default:cogs_supplements,CC_PURCHASE_1715
1716,2023-08-17,PURCHASE,57.33,5733,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,5733,0,VENDOR_PROFILE,CC_PURCHASE_1716
1706,2023-08-18,PURCHASE,15.00,1500,HIGHLAND MARKET AMHERST,,1500,0,default:cogs_supplements,CC_PURCHASE_1706
1707,2023-08-18,REFUND,51.74,5174,KENT AMHERST AMHERST,,5174,0,keyword:kent_repairs,CC_PURCHASE_1707
1708,2023-08-18,PURCHASE,706.48,70648,KENT AMHERST AMHERST,,70648,0,keyword:kent_repairs,CC_PURCHASE_1708
1709,2023-08-18,PURCHASE,21.94,2194,KENT AMHERST AMHERST,,2194,0,keyword:kent_repairs,CC_PURCHASE_1709
1710,2023-08-18,PURCHASE,34.49,3449,KENT AMHERST AMHERST,,3449,0,keyword:kent_repairs,CC_PURCHASE_1710
1711,2023-08-18,PURCHASE,97.66,9766,CDN TIRE STORE,,9766,0,default:cogs_supplements,CC_PURCHASE_1711
1698,2023-08-21,PURCHASE,13.74,1374,CIRCLE K /,,1374,0,default:cogs_supplements,CC_PURCHASE_1698
1699,2023-08-21,PURCHASE,13.76,1376,FREIGHTCOM INC. BOLTON,,1376,0,keyword:freight,CC_PURCHASE_1699
1701,2023-08-21,PURCHASE,141.75,14175,KENT AMHERST AMHERST,,14175,0,keyword:kent_repairs,CC_PURCHASE_1701
1702,2023-08-21,PURCHASE,55.50,5550,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,5550,0,VENDOR_PROFILE,CC_PURCHASE_1702
1703,2023-08-21,PURCHASE,23.99,2399,NSLC #2302 AMHERST,,2399,0,default:cogs_supplements,CC_PURCHASE_1703
1704,2023-08-21,PURCHASE,26.30,2630,KENT AMHERST AMHERST,,2630,0,keyword:kent_repairs,CC_PURCHASE_1704
1705,2023-08-21,PURCHASE,68.78,6878,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,6878,0,VENDOR_PROFILE,CC_PURCHASE_1705
1696,2023-08-22,PURCHASE,3.38,338,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,338,0,VENDOR_PROFILE,CC_PURCHASE_1696
1697,2023-08-22,PURCHASE,129.10,12910,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,12910,0,VENDOR_PROFILE,CC_PURCHASE_1697
1689,2023-08-24,PURCHASE,14.26,1426,FREIGHTCOM INC. BOLTON,,1426,0,keyword:freight,CC_PURCHASE_1689
1690,2023-08-24,PURCHASE,37.97,3797,STORE AMHERST,,3797,0,default:cogs_supplements,CC_PURCHASE_1690
1691,2023-08-24,PURCHASE,1876.22,187622,PESCIENCE 8888850195,,187622,0,default:cogs_supplements,CC_PURCHASE_1691
1692,2023-08-24,PURCHASE,11.84,1184,FIVERREU NICOSIA,,1184,0,default:cogs_supplements,CC_PURCHASE_1692
1693,2023-08-24,PURCHASE,15.20,1520,FREIGHTCOM INC. BOLTON,,1520,0,keyword:freight,CC_PURCHASE_1693
1694,2023-08-24,PURCHASE,449.89,44989,FREIGHTCOM INC. BOLTON,,44989,0,keyword:freight,CC_PURCHASE_1694
1686,2023-08-25,PURCHASE,51.98,5198,AMAZON.CA*T32EU54W2 AMAZON.CA,,5198,0,default:cogs_supplements,CC_PURCHASE_1686
1687,2023-08-25,PURCHASE,23.94,2394,OXFORD SAVE EASY,,2394,0,default:cogs_supplements,CC_PURCHASE_1687
1688,2023-08-25,PURCHASE,14.26,1426,FREIGHTCOM INC. BOLTON,,1426,0,keyword:freight,CC_PURCHASE_1688
1682,2023-08-28,PURCHASE,41.08,4108,MTY GROUP /,,4108,0,default:cogs_supplements,CC_PURCHASE_1682
1683,2023-08-28,PURCHASE,12.64,1264,APPLE.COM/BILL 866-712-7753,,1264,0,default:cogs_supplements,CC_PURCHASE_1683
1684,2023-08-28,PURCHASE,4.74,474,AMHERST PHARMA SAVE,PHARMASAVE,474,0,VENDOR_PROFILE,CC_PURCHASE_1684
1685,2023-08-28,PURCHASE,1148.85,114885,GROSNOR DISTRIBUTION AJAX,,114885,0,default:cogs_supplements,CC_PURCHASE_1685
1678,2023-08-29,PURCHASE,72.34,7234,AMHERST SUPERSTORE #31,ATLANTIC_SUPERSTORE,7234,0,VENDOR_PROFILE,CC_PURCHASE_1678
1679,2023-08-29,PURCHASE,14.26,1426,FREIGHTCOM INC. BOLTON,,1426,0,keyword:freight,CC_PURCHASE_1679
1680,2023-08-29,PURCHASE,21.22,2122,FREIGHTCOM INC. BOLTON,,2122,0,keyword:freight,CC_PURCHASE_1680
1675,2023-08-30,PURCHASE,62.20,6220,AMHERST FAMILY DENTAL,,6220,0,default:cogs_supplements,CC_PURCHASE_1675
1676,2023-08-30,PURCHASE,200.65,20065,BELL ALIANT OBB,,20065,0,default:cogs_supplements,CC_PURCHASE_1676
1677,2023-08-30,PURCHASE,17.22,1722,FREIGHTCOM INC. BOLTON,,1722,0,keyword:freight,CC_PURCHASE_1677
1671,2023-08-31,PURCHASE,19.54,1954,AMZN MKTP CA*T345F3R60,,1954,0,default:cogs_supplements,CC_PURCHASE_1671
1672,2023-08-31,PURCHASE,854.06,85406,PURITY LIFE HEALTH,,85406,0,default:cogs_supplements,CC_PURCHASE_1672
1673,2023-08-31,PURCHASE,6.13,613,AMHERST PHARMA SAVE,PHARMASAVE,613,0,VENDOR_PROFILE,CC_PURCHASE_1673
1674,2023-08-31,PURCHASE,21.72,2172,FREIGHTCOM INC. BOLTON,,2172,0,keyword:freight,CC_PURCHASE_1674
1667,2023-09-01,PURCHASE,14.26,1426,FREIGHTCOM INC. BOLTON,,1426,0,keyword:freight,CC_PURCHASE_1667
1668,2023-09-01,PURCHASE,14.26,1426,FREIGHTCOM INC. BOLTON,,1426,0,keyword:freight,CC_PURCHASE_1668
1669,2023-09-01,PURCHASE,18.51,1851,FREIGHTCOM INC. BOLTON,,1851,0,keyword:freight,CC_PURCHASE_1669
1670,2023-09-01,PURCHASE,944.15,94415,GROSNOR DISTRIBUTION AJAX,,94415,0,default:cogs_supplements,CC_PURCHASE_1670
1657,2023-09-05,PURCHASE,29.95,2995,AMZN MKTP CA*TL9XJ2V40,,2995,0,default:cogs_supplements,CC_PURCHASE_1657
1658,2023-09-05,PURCHASE,29.95,2995,AMZN MKTP CA*TL6CQ3832,,2995,0,default:cogs_supplements,CC_PURCHASE_1658
1659,2023-09-05,PURCHASE,935.80,93580,CONQUER ALL NUTRITION,,93580,0,default:cogs_supplements,CC_PURCHASE_1659
1660,2023-09-05,PURCHASE,30.56,3056,HIGHLAND MARKET AMHERST,,3056,0,default:cogs_supplements,CC_PURCHASE_1660
1662,2023-09-05,PURCHASE,63.13,6313,AMHERST PHARMA SAVE,PHARMASAVE,6313,0,VENDOR_PROFILE,CC_PURCHASE_1662
1663,2023-09-05,PURCHASE,51.75,5175,ACADIAN PRINTING AMHERST,,5175,0,default:cogs_supplements,CC_PURCHASE_1663
1664,2023-09-05,PURCHASE,15.60,1560,GOOGLE*GSUITE CURLYS.C CC,,1560,0,default:cogs_supplements,CC_PURCHASE_1664
1665,2023-09-05,PURCHASE,25.61,2561,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,2561,0,VENDOR_PROFILE,CC_PURCHASE_1665
1666,2023-09-05,PURCHASE,2135.72,213572,SUPPLEMENT FACTS OTTAWA,,213572,0,default:cogs_supplements,CC_PURCHASE_1666
4147,2023-09-05,PURCHASE,3.38,338,WAL-MART #5789 AMHERST,WALMART,338,0,VENDOR_PROFILE,CC_PURCHASE_4147
1653,2023-09-06,PURCHASE,25.58,2558,CFS-SAFECHECK 1 866-258-0643,,2558,0,default:cogs_supplements,CC_PURCHASE_1653
1654,2023-09-06,PURCHASE,18.65,1865,FREIGHTCOM INC. BOLTON,,1865,0,keyword:freight,CC_PURCHASE_1654
1656,2023-09-06,PURCHASE,120.34,12034,WAL-MART SUPERCENTER#5789 AMHERST,WALMART,12034,0,VENDOR_PROFILE,CC_PURCHASE_1656
1650,2023-09-07,PURCHASE,11.27,1127,FREIGHTCOM INC. BOLTON,,1127,0,keyword:freight,CC_PURCHASE_1650
1651,2023-09-07,PURCHASE,254.21,25421,PAYPAL *ISWEET 4168234030,,25421,0,default:cogs_supplements,CC_PURCHASE_1651
