bank_txn_id,bank_date,bank_amount_cents,bank_amount,card_last4,wave_bill_id,invoice_date,vendor_raw,cc_txn_id,abs_date_diff_days,signed_date_diff_days,match_method
1582,2023-10-23,152352,1523.52,154,45,2023-09-08,Costco - Bill 22134501101702309081257,4143,45,45,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1585,2023-10-23,2831,28.31,318,54,2023-09-15,Pharmasave - Bill,1626,38,38,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1586,2023-10-23,2607,26.07,318,44,2023-09-08,Pharmasave - Bill,1646,45,45,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1587,2023-10-23,1734,17.34,318,40,2023-09-07,Pharmasave - Bill,1644,46,46,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1588,2023-10-23,13790,137.90,154,46,2023-09-08,Dollarama - Bill,4144,45,45,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1589,2023-10-23,2644,26.44,318,17,2023-07-31,Amazon - Bill,1764,84,84,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1590,2023-10-23,2532,25.32,318,60,2023-09-18,Amazon - Bill,1619,35,35,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1597,2023-10-23,1024,10.24,154,85,2023-10-10,Pharmasave - Bill,4098,13,13,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1598,2023-10-23,5216,52.16,318,97,2023-10-20,Pharmasave - Bill,1553,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1560,2023-10-25,137182,1371.82,154,100,2023-10-21,Costco - Bill 22134501402602310211624,4081,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1537,2023-11-01,197798,1977.98,154,108,2023-10-27,Costco - Bill 22134501301362310271311,4058,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1516,2023-11-08,13800,138.00,154,114,2023-11-02,Costco - Bill 22134519400272311021858,4052,6,6,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1517,2023-11-08,92900,929.00,318,131,2023-11-20,Capital Foods - Bill 2530298,1458,12,-12,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1519,2023-11-08,5749,57.49,318,123,2023-11-08,Amherst Country Store - Bill,1471,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1520,2023-11-08,136617,1366.17,154,113,2023-11-02,Costco - Bill 22134500804842311022002,4051,6,6,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1494,2023-11-23,165922,1659.22,154,124,2023-11-10,Costco - Bill 22134501203702311101654,4047,13,13,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1482,2023-11-30,15899,158.99,154,134,2023-11-28,Amazon - Bill,4004,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1483,2023-11-30,1148,11.48,154,135,2023-11-30,Amazon - Bill,4000,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1469,2023-12-01,212938,2129.38,154,128,2023-11-17,Costco - Bill 22134500703462311171643,4033,14,14,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1460,2023-12-06,119488,1194.88,154,138,2023-12-03,Costco - Bill 22134500801272312031227,3992,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1409,2024-01-04,2753,27.53,318,103,2023-10-24,C.E. Harrison Home Hardware - Bill,1523,72,72,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1410,2024-01-04,1432,14.32,318,102,2023-10-24,C.E. Harrison Home Hardware - Bill,1524,72,72,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1416,2024-01-04,2753,27.53,318,103,2023-10-24,C.E. Harrison Home Hardware - Bill,1523,72,72,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1399,2024-01-08,199638,1996.38,154,161,2024-01-06,Costco - Bill,3919,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1401,2024-01-08,7414,74.14,154,157,2024-01-05,Pharmasave - Bill,3922,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1394,2024-01-09,3449,34.49,154,98,2023-10-21,Amazon - Bill,4080,80,80,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1395,2024-01-09,2299,22.99,154,112,2023-11-01,Amazon - Bill,4053,69,69,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1378,2024-01-17,8497,84.97,154,169,2024-01-16,Amazon - Bill,3898,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1379,2024-01-17,3999,39.99,154,168,2024-01-16,Amazon - Bill,3899,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1368,2024-01-22,6375,63.75,318,163,2024-01-07,Atlantic Superstore - Bill,1356,15,15,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1371,2024-01-22,5449,54.49,318,173,2024-01-20,Pharmasave - Bill,1337,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1344,2024-01-29,1179,11.79,318,177,2024-01-23,Dollarama - Bill,1322,6,6,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1345,2024-01-29,1107,11.07,318,180,2024-01-25,Pharmasave - Bill,1316,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1346,2024-01-29,3013,30.13,318,184,2024-01-27,Circle K - Bill,1310,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1347,2024-01-29,148980,1489.80,154,179,2024-01-24,Costco - Bill,3887,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1348,2024-01-29,2588,25.88,318,181,2024-01-25,Pharmasave - Bill,1317,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1349,2024-01-29,4823,48.23,318,170,2024-01-18,Walmart - Bill,1340,11,11,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1334,2024-02-01,4001,40.01,154,190,2024-02-01,Esso - Bill,3213,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1318,2024-02-12,24971,249.71,154,197,2024-02-09,Atlantic Superstore - Bill,3863,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1292,2024-02-22,224931,2249.31,154,210,2024-02-15,Costco - Bill,3852,7,7,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1293,2024-02-22,1300,13.00,318,202,2024-02-11,Pharmasave - Bill,1280,11,11,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1295,2024-02-22,10554,105.54,318,208,2024-02-15,IFoodEquipment - Bill,1268,7,7,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1298,2024-02-22,5996,59.96,318,211,2024-02-16,Atlantic Superstore - Bill,1264,6,6,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1299,2024-02-22,1147,11.47,318,203,2024-02-11,Walmart - Bill,1274,11,11,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1300,2024-02-22,3619,36.19,318,200,2024-02-10,Atlantic Superstore - Bill,1283,12,12,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1271,2024-02-26,2995,29.95,318,228,2024-02-24,Christmas Discounters - Bill,1240,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1272,2024-02-26,9897,98.97,154,226,2024-02-24,Atlantic Superstore - Bill,3839,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1274,2024-02-26,4796,47.96,318,227,2024-02-24,Pharmasave - Bill,1239,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1275,2024-02-26,38101,381.01,318,218,2024-02-18,Atlantic Superstore - Bill,1258,8,8,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1252,2024-03-06,2130,21.30,318,238,2024-03-04,Pharmasave - Bill,1214,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1254,2024-03-06,123876,1238.76,154,242,2024-03-05,Costco - Bill,3814,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1216,2024-03-14,63249,632.49,154,256,2024-03-13,Costco - Bill,3802,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1217,2024-03-14,4595,45.95,154,260,2024-03-14,Home Hardware - Spring Street - Bill,3797,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1219,2024-03-14,161259,1612.59,154,255,2024-03-13,Costco - Bill,3805,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1205,2024-03-20,4383,43.83,318,264,2024-03-16,Pharmasave - Bill,1188,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1207,2024-03-20,18239,182.39,318,262,2024-03-15,Walmart - Bill,1189,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1208,2024-03-20,13328,133.28,318,261,2024-03-15,Pharmasave - Bill,1190,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1174,2024-04-04,81189,811.89,154,280,2024-04-03,Costco - Bill,3762,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1175,2024-04-04,125173,1251.73,154,279,2024-04-03,Costco - Bill,3761,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1167,2024-04-08,20378,203.78,154,285,2024-04-04,Walmart - Bill,3755,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1168,2024-04-08,10735,107.35,154,282,2024-04-04,Walmart - Bill,3756,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1169,2024-04-08,1995,19.95,154,283,2024-04-04,Atlantic Superstore - Bill,3757,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1156,2024-04-12,1446,14.46,154,287,2024-04-08,Pharmasave - Bill,3751,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1158,2024-04-12,16862,168.62,154,288,2024-04-08,Atlantic Superstore - Bill,3749,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1145,2024-04-16,2988,29.88,318,295,2024-04-13,Home Hardware - Spring Street - Bill,1141,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1146,2024-04-16,3515,35.15,318,293,2024-04-12,Pharmasave - Bill,1144,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1136,2024-04-22,2892,28.92,318,299,2024-04-20,Pharmasave - Bill,1125,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1137,2024-04-22,9492,94.92,318,292,2024-04-12,Christmas Discounters - Bill,1143,10,10,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1127,2024-04-23,22259,222.59,318,302,2024-04-23,Gov't of Nova Scotia - Bill,1114,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1119,2024-05-06,6328,63.28,318,306,2024-05-03,Pharmasave - Bill,1095,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1120,2024-05-06,1990,19.90,318,308,2024-05-04,Pharmasave - Bill,1093,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1111,2024-05-09,85830,858.30,154,311,2024-05-08,Costco - Bill,3695,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1104,2024-05-21,7111,71.11,318,315,2024-05-16,Pharmasave - Bill,1059,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1073,2024-08-08,1401,14.01,318,329,2024-08-03,Pharmasave - Bill,916,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1066,2024-08-19,10178,101.78,318,335,2024-08-19,Amazon - Bill,879,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1056,2024-09-03,139042,1390.42,154,340,2024-08-28,Costco - Bill,3533,6,6,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1049,2024-09-05,33640,336.40,154,350,2024-09-03,Atlantic Superstore - Bill,3519,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1039,2024-09-09,1442,14.42,154,356,2024-09-06,Pharmasave - Bill,3510,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1040,2024-09-09,3845,38.45,154,357,2024-09-07,Atlantic Superstore - Bill,3507,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1021,2024-09-18,24844,248.44,154,368,2024-09-14,Atlantic Superstore - Bill,3485,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1022,2024-09-18,15935,159.35,154,361,2024-09-09,Christmas Discounters - Bill,3505,9,9,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1024,2024-09-18,6303,63.03,154,359,2024-09-09,Christmas Discounters - Bill,3506,9,9,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1009,2024-09-23,33442,334.42,154,378,2024-09-21,Atlantic Superstore - Bill,3477,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
995,2024-09-27,178197,1781.97,154,387,2024-09-25,Costco - Bill,3471,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
996,2024-09-27,111445,1114.45,154,384,2024-09-25,Wholesale Club - Bill,3473,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
982,2024-10-01,35522,355.22,154,395,2024-09-29,Atlantic Superstore - Bill,3458,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
986,2024-10-01,9198,91.98,154,380,2024-09-23,Amazon - Bill,3475,8,8,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
975,2024-10-02,5633,56.33,154,388,2024-09-25,Fedex - Bill Duties,3467,7,7,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
966,2024-10-07,208323,2083.23,154,408,2024-10-05,Costco - Bill,3432,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
967,2024-10-07,1576,15.76,154,407,2024-10-05,Atlantic Superstore - Bill,3434,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
968,2024-10-07,93233,932.33,154,406,2024-10-05,Wholesale Club - Bill,3430,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
971,2024-10-07,27541,275.41,154,405,2024-10-04,Atlantic Superstore - Bill,3439,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
951,2024-10-11,4955,49.55,154,413,2024-10-10,Pharmasave - Bill,3417,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
945,2024-10-15,13041,130.41,154,415,2024-10-11,Atlantic Superstore - Bill,3415,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
920,2024-10-21,186909,1869.09,154,426,2024-10-16,Costco - Bill,3407,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
921,2024-10-21,32288,322.88,154,432,2024-10-20,Atlantic Superstore - Bill,3399,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
924,2024-10-21,29471,294.71,154,427,2024-10-18,Atlantic Superstore - Bill,3402,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
906,2024-10-24,147283,1472.83,154,436,2024-10-23,Costco - Bill,3391,1,1,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
887,2024-10-28,47932,479.32,154,451,2024-10-28,Costco - Bill,3384,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
891,2024-10-28,7830,78.30,154,441,2024-10-24,Atlantic Superstore - Bill,3387,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
892,2024-10-28,2200,22.00,154,446,2024-10-25,Pharmasave - Bill,3382,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
866,2024-11-04,10590,105.90,318,440,2024-10-24,Amazon - Bill,779,11,11,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
872,2024-11-04,3223,32.23,154,456,2024-11-01,Atlantic Superstore - Bill,3369,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
874,2024-11-04,167289,1672.89,154,454,2024-10-30,Costco - Bill,3374,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
858,2024-11-06,3274,32.74,318,422,2024-10-15,Sobeys - Bill,808,22,22,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
839,2024-11-12,55087,550.87,154,473,2024-11-12,Shopify - Bill,3355,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
842,2024-11-12,6203,62.03,154,464,2024-11-07,Christmas Discounters - Bill,3361,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
844,2024-11-12,10626,106.26,154,470,2024-11-10,Canadian Tire - Bill,3356,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
846,2024-11-12,27908,279.08,154,469,2024-11-09,Atlantic Superstore - Bill,3357,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
821,2024-11-18,109096,1090.96,154,478,2024-11-13,Wholesale Club - Bill,3347,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
823,2024-11-18,8984,89.84,318,480,2024-11-15,Freightcom - Bill,3341,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
824,2024-11-18,178776,1787.76,154,477,2024-11-13,Costco - Bill,3349,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
771,2024-12-03,25812,258.12,154,500,2024-11-29,Atlantic Superstore - Bill,3309,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
773,2024-12-03,1678,16.78,154,491,2024-11-23,Pharmasave - Bill,3323,10,10,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
774,2024-12-03,6288,62.88,154,483,2024-11-21,UPS - Bill,3330,12,12,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
779,2024-12-03,3002,30.02,318,489,2024-11-22,Esso - Bill,732,11,11,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
780,2024-12-03,2466,24.66,154,488,2024-11-22,Costco - Bill,3327,11,11,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
783,2024-12-03,21846,218.46,154,492,2024-11-24,Walmart - Bill,3321,9,9,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
784,2024-12-03,2476,24.76,154,494,2024-11-24,Sobeys - Bill,3320,9,9,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
786,2024-12-03,6498,64.98,318,496,2024-11-26,Irving - Bill,728,7,7,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
753,2024-12-09,27981,279.81,154,519,2024-12-07,Atlantic Superstore - Bill,3275,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
756,2024-12-09,28348,283.48,154,511,2024-12-04,Atlantic Superstore - Bill,3290,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
744,2024-12-11,11897,118.97,154,401,2024-10-01,IFoodEquipment - Bill,3470,71,71,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
745,2024-12-11,7579,75.79,154,515,2024-12-05,Pharmasave - Bill,3279,6,6,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
726,2024-12-16,8335,83.35,154,533,2024-12-14,Pharmasave - Bill,3237,2,2,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
729,2024-12-16,3051,30.51,154,527,2024-12-12,C.E. Harrison Home Hardware - Bill,3251,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
713,2024-12-20,215203,2152.03,154,532,2024-12-13,Costco - Bill,3248,7,7,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
698,2024-12-31,6395,63.95,154,545,2024-12-31,Pharmasave - Bill,3182,0,0,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
699,2024-12-31,1724,17.24,154,535,2024-12-17,Canadian Tire - Bill,3218,14,14,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
677,2025-01-08,10840,108.40,154,553,2025-01-04,Canadian Tire - Bill,3173,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
678,2025-01-08,5586,55.86,154,549,2025-01-03,Pharmasave - Bill,3176,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
680,2025-01-08,4816,48.16,154,551,2025-01-04,Walmart - Bill,3172,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
644,2025-01-16,2921,29.21,318,570,2025-01-13,Walmart - Bill,664,3,3,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
645,2025-01-16,1440,14.40,154,569,2025-01-12,Pharmasave - Bill,3150,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
646,2025-01-16,40710,407.10,318,567,2025-01-12,Dollarama - Bill,668,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
647,2025-01-16,9008,90.08,154,564,2025-01-11,Pharmasave - Bill,3154,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
648,2025-01-16,241547,2415.47,154,558,2025-01-09,Costco - Bill,3158,7,7,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
649,2025-01-16,3600,36.00,154,565,2025-01-11,Pharmasave - Bill,3153,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
650,2025-01-16,12929,129.29,154,566,2025-01-11,Pharmasave - Bill,3152,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
652,2025-01-16,64289,642.89,154,559,2025-01-09,Wholesale Club - Bill,3159,7,7,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
653,2025-01-16,33747,337.47,154,568,2025-01-12,Atlantic Superstore - Bill,3151,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
605,2025-01-27,7970,79.70,154,581,2025-01-18,Dollarama - Bill,3127,9,9,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
606,2025-01-27,7691,76.91,154,579,2025-01-18,Canadian Tire - Bill,3124,9,9,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
608,2025-01-27,4218,42.18,154,580,2025-01-18,Pharmasave - Bill,3125,9,9,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
609,2025-01-27,6000,60.00,154,508,2024-12-04,Esso - Bill,3280,54,54,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
