adjustment_id,journal_entry_id,entry_date,entry_type,account_code,debit,credit,line_description,journal_description
DWAYNE_CC_PREPAY_BALANCE_FY2025,MANUAL_ADJ_DWAYNE_CC_PREPAY_BALANCE_FY2025,2025-05-31,ADJUSTMENT,2410,0.00,840.81,Due to shareholder - Dwayne (restore payable reduced by CC overpayment) FY2025 end,Record incremental Dwayne CC prepayment balance created in FY2025.
DWAYNE_COSTCO_PARTIAL_PAYMENT_CORRECTION,MANUAL_ADJ_DWAYNE_COSTCO_PARTIAL_PAYMENT_CORRECTION,2024-12-20,ADJUSTMENT,5099,12.21,0.00,Costco - correction (COGS - Food - Other),Recognize Costco partial payment correction paid to Dwayne (bank_txn_id=715).
DWAYNE_COSTCO_PARTIAL_PAYMENT_CORRECTION,MANUAL_ADJ_DWAYNE_COSTCO_PARTIAL_PAYMENT_CORRECTION,2024-12-20,ADJUSTMENT,2410,0.00,12.21,Due to shareholder - Dwayne (reimbursement correction),Recognize Costco partial payment correction paid to Dwayne (bank_txn_id=715).
FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,MANUAL_ADJ_FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,2024-05-31,ADJUSTMENT,5400,1370.00,0.00,Abnormal shrink/spoilage (FY2024) - reclass for visibility,"FY2024 inventory losses reclass to shrinkage/spoilage (drinks, rodents, freezer failure)."
FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,MANUAL_ADJ_FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,2024-05-31,ADJUSTMENT,5010,0.00,500.00,Reclass from COGS - Beverage (drinks lost),"FY2024 inventory losses reclass to shrinkage/spoilage (drinks, rodents, freezer failure)."
FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,MANUAL_ADJ_FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,2024-05-31,ADJUSTMENT,5030,0.00,120.00,Reclass from COGS - Retail Goods (chocolate bars lost to rodents),"FY2024 inventory losses reclass to shrinkage/spoilage (drinks, rodents, freezer failure)."
FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,MANUAL_ADJ_FY2024_INVENTORY_SHRINKAGE_EVENTS_RECLASS,2024-05-31,ADJUSTMENT,5000,0.00,750.00,Reclass from COGS - Food (freezer failure loss),"FY2024 inventory losses reclass to shrinkage/spoilage (drinks, rodents, freezer failure)."
FY2025_INVENTORY_SHRINKAGE_RECLASS,MANUAL_ADJ_FY2025_INVENTORY_SHRINKAGE_RECLASS,2025-05-31,ADJUSTMENT,5400,200.00,0.00,Shrink/spoilage (FY2025) - reclass for visibility,FY2025 inventory losses reclass to shrinkage/spoilage (management estimate).
FY2025_INVENTORY_SHRINKAGE_RECLASS,MANUAL_ADJ_FY2025_INVENTORY_SHRINKAGE_RECLASS,2025-05-31,ADJUSTMENT,5000,0.00,200.00,Reclass from COGS - Food (shrink/spoilage),FY2025 inventory losses reclass to shrinkage/spoilage (management estimate).
FY2024_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,MANUAL_ADJ_FY2024_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,2024-05-31,ADJUSTMENT,6610,1006.68,0.00,Computer hardware/accessories (estimated portion),Reclass 25% of office supplies to computer hardware (presentation-only).
FY2024_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,MANUAL_ADJ_FY2024_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,2024-05-31,ADJUSTMENT,6600,0.00,1006.68,Reduce office supplies (reclass portion),Reclass 25% of office supplies to computer hardware (presentation-only).
FY2025_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,MANUAL_ADJ_FY2025_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,2025-05-31,ADJUSTMENT,6610,1300.88,0.00,Computer hardware/accessories (estimated portion),Reclass 25% of office supplies to computer hardware (presentation-only).
FY2025_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,MANUAL_ADJ_FY2025_COMPUTER_RECLASS_FROM_OFFICE_SUPPLIES,2025-05-31,ADJUSTMENT,6600,0.00,1300.88,Reduce office supplies (reclass portion),Reclass 25% of office supplies to computer hardware (presentation-only).
SHOPIFY_POS_CARD_READER_RECLASS_FY2025,MANUAL_ADJ_SHOPIFY_POS_CARD_READER_RECLASS_FY2025,2024-11-12,ADJUSTMENT,6610,479.00,0.00,POS card reader hardware (Shopify),Reclass Shopify POS card reader hardware to computer hardware (data processing).
SHOPIFY_POS_CARD_READER_RECLASS_FY2025,MANUAL_ADJ_SHOPIFY_POS_CARD_READER_RECLASS_FY2025,2024-11-12,ADJUSTMENT,6600,0.00,459.00,Reverse office supplies allocation (Shopify POS reader),Reclass Shopify POS card reader hardware to computer hardware (data processing).
SHOPIFY_POS_CARD_READER_RECLASS_FY2025,MANUAL_ADJ_SHOPIFY_POS_CARD_READER_RECLASS_FY2025,2024-11-12,ADJUSTMENT,6550,0.00,20.00,Reverse freight allocation (Shopify POS reader),Reclass Shopify POS card reader hardware to computer hardware (data processing).
NAYAX_CARD_READER_RECLASS_FY2025,MANUAL_ADJ_NAYAX_CARD_READER_RECLASS_FY2025,2025-02-24,ADJUSTMENT,6610,557.43,0.00,Nayax card reader hardware,Reclass Nayax card reader hardware to computer hardware (data processing).
NAYAX_CARD_READER_RECLASS_FY2025,MANUAL_ADJ_NAYAX_CARD_READER_RECLASS_FY2025,2025-02-24,ADJUSTMENT,5300,0.00,557.43,Reverse merchant account fees (Nayax reader hardware),Reclass Nayax card reader hardware to computer hardware (data processing).
CRA_PAYROLL_PENALTY_RECLASS_FY2024,MANUAL_ADJ_CRA_PAYROLL_PENALTY_RECLASS_FY2024,2024-02-26,ADJUSTMENT,9150,71.35,0.00,CRA payroll late remitting penalty,Reclass CRA payroll late remitting penalty out of interest (FY2024).
CRA_PAYROLL_PENALTY_RECLASS_FY2024,MANUAL_ADJ_CRA_PAYROLL_PENALTY_RECLASS_FY2024,2024-02-26,ADJUSTMENT,8100,0.00,71.35,Reclass from interest expense,Reclass CRA payroll late remitting penalty out of interest (FY2024).
CRA_PAYROLL_PENALTY_RECLASS_FY2025,MANUAL_ADJ_CRA_PAYROLL_PENALTY_RECLASS_FY2025,2025-03-17,ADJUSTMENT,9150,27.27,0.00,CRA payroll late remitting penalty,Reclass CRA payroll late remitting penalty out of interest (FY2025).
CRA_PAYROLL_PENALTY_RECLASS_FY2025,MANUAL_ADJ_CRA_PAYROLL_PENALTY_RECLASS_FY2025,2025-03-17,ADJUSTMENT,8100,0.00,27.27,Reclass from interest expense,Reclass CRA payroll late remitting penalty out of interest (FY2025).
CRA_HST_PEN_INT_RECLASS_MAR2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_MAR2024,2024-11-13,ADJUSTMENT,9150,79.00,0.00,CRA HST failure-to-file penalty,Reclass CRA HST penalty/interest (period end 2024-03-31) out of HST payable.
CRA_HST_PEN_INT_RECLASS_MAR2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_MAR2024,2024-11-13,ADJUSTMENT,8100,183.56,0.00,CRA HST arrears interest,Reclass CRA HST penalty/interest (period end 2024-03-31) out of HST payable.
CRA_HST_PEN_INT_RECLASS_MAR2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_MAR2024,2024-11-13,ADJUSTMENT,2200,0.00,262.56,Reclass out of HST payable,Reclass CRA HST penalty/interest (period end 2024-03-31) out of HST payable.
CRA_HST_PEN_INT_RECLASS_JUN2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_JUN2024,2024-11-13,ADJUSTMENT,9150,44.14,0.00,CRA HST failure-to-file penalty,Reclass CRA HST penalty/interest (period end 2024-06-30) out of HST payable.
CRA_HST_PEN_INT_RECLASS_JUN2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_JUN2024,2024-11-13,ADJUSTMENT,8100,77.37,0.00,CRA HST arrears interest,Reclass CRA HST penalty/interest (period end 2024-06-30) out of HST payable.
CRA_HST_PEN_INT_RECLASS_JUN2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_JUN2024,2024-11-13,ADJUSTMENT,2200,0.00,121.51,Reclass out of HST payable,Reclass CRA HST penalty/interest (period end 2024-06-30) out of HST payable.
CRA_HST_INT_RECLASS_SEP2024,MANUAL_ADJ_CRA_HST_INT_RECLASS_SEP2024,2024-11-29,ADJUSTMENT,8100,17.44,0.00,CRA HST arrears interest (net),Reclass CRA HST non-tax charges (period end 2024-09-30) out of HST payable.
CRA_HST_INT_RECLASS_SEP2024,MANUAL_ADJ_CRA_HST_INT_RECLASS_SEP2024,2024-11-29,ADJUSTMENT,2200,0.00,17.44,Reclass out of HST payable,Reclass CRA HST non-tax charges (period end 2024-09-30) out of HST payable.
CRA_HST_PEN_INT_RECLASS_DEC2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_DEC2024,2025-04-25,ADJUSTMENT,9150,123.46,0.00,CRA HST failure-to-file penalty,Reclass CRA HST penalty/interest (period end 2024-12-31) out of HST payable.
CRA_HST_PEN_INT_RECLASS_DEC2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_DEC2024,2025-04-25,ADJUSTMENT,8100,110.59,0.00,CRA HST arrears interest,Reclass CRA HST penalty/interest (period end 2024-12-31) out of HST payable.
CRA_HST_PEN_INT_RECLASS_DEC2024,MANUAL_ADJ_CRA_HST_PEN_INT_RECLASS_DEC2024,2025-04-25,ADJUSTMENT,2250,0.00,234.05,CRA charges payable (non-tax),Reclass CRA HST penalty/interest (period end 2024-12-31) out of HST payable.
CRA_HST_INTEREST_CREDIT_JAN2025,MANUAL_ADJ_CRA_HST_INTEREST_CREDIT_JAN2025,2025-01-03,ADJUSTMENT,2250,10.84,0.00,Reduce CRA charges payable for CRA interest credit,Recognize CRA HST interest credit (reduces interest expense) for period end 2024-03-31.
CRA_HST_INTEREST_CREDIT_JAN2025,MANUAL_ADJ_CRA_HST_INTEREST_CREDIT_JAN2025,2025-01-03,ADJUSTMENT,8100,0.00,10.84,Reduce interest expense (CRA interest credit),Recognize CRA HST interest credit (reduces interest expense) for period end 2024-03-31.
CRA_HST_REFUND_INTEREST_CREDIT_APR2025,MANUAL_ADJ_CRA_HST_REFUND_INTEREST_CREDIT_APR2025,2025-04-25,ADJUSTMENT,2250,4.11,0.00,Reduce CRA charges payable for CRA refund interest credit,Recognize CRA HST refund interest credit (reduces interest expense) for period end 2024-03-31.
CRA_HST_REFUND_INTEREST_CREDIT_APR2025,MANUAL_ADJ_CRA_HST_REFUND_INTEREST_CREDIT_APR2025,2025-04-25,ADJUSTMENT,8100,0.00,4.11,Reduce interest expense (CRA refund interest credit),Recognize CRA HST refund interest credit (reduces interest expense) for period end 2024-03-31.
