bank_txn_id,bank_date,bank_debit_cents,matched_wave_bill_ids,match_methods,matched_bill_total_cents,diff_cents,journal_entry_id
801,2024-11-27,229195,"463,475",WAVE_MATCHES,229195,0,WAVE_BILL_PAYMENT_801
809,2024-11-25,2069,734,WAVE_BILL_FUNDING,2069,0,WAVE_BILL_PAYMENT_809
810,2024-11-22,137572,465,GFS_EFT_NOTICE,137572,0,WAVE_BILL_PAYMENT_810
816,2024-11-18,208215,763,WAVE_MATCHES,208215,0,WAVE_BILL_PAYMENT_816
831,2024-11-15,92694,"459,460",GFS_EFT_NOTICE,92694,0,WAVE_BILL_PAYMENT_831
836,2024-11-13,93534,742,WAVE_BILL_FUNDING,93534,0,WAVE_BILL_PAYMENT_836
853,2024-11-08,184643,"438,447,732",WAVE_BILL_FUNDING,184643,0,WAVE_BILL_PAYMENT_853
877,2024-11-01,195667,"420,423,429",GFS_EFT_NOTICE,195667,0,WAVE_BILL_PAYMENT_877
879,2024-10-31,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_879
880,2024-10-31,2513,739,WAVE_BILL_FUNDING,2513,0,WAVE_BILL_PAYMENT_880
882,2024-10-30,33604,424,WAVE_MATCHES,33604,0,WAVE_BILL_PAYMENT_882
884,2024-10-29,2000,757,WAVE_BILL_FUNDING,2000,0,WAVE_BILL_PAYMENT_884
900,2024-10-25,125890,"412,418",GFS_EFT_NOTICE,125890,0,WAVE_BILL_PAYMENT_900
902,2024-10-25,1148,439,WAVE_MATCHES,1148,0,WAVE_BILL_PAYMENT_902
931,2024-10-18,187764,"398,399,402,403",GFS_EFT_NOTICE,187764,0,WAVE_BILL_PAYMENT_931
933,2024-10-17,88000,400,WAVE_MATCHES,88000,0,WAVE_BILL_PAYMENT_933
935,2024-10-16,77558,762,WAVE_MATCHES,77558,0,WAVE_BILL_PAYMENT_935
936,2024-10-16,129047,392,WAVE_MATCHES,129047,0,WAVE_BILL_PAYMENT_936
937,2024-10-16,4000,756,WAVE_BILL_FUNDING,4000,0,WAVE_BILL_PAYMENT_937
950,2024-10-11,81051,"382,383,393",GFS_EFT_NOTICE,81051,0,WAVE_BILL_PAYMENT_950
972,2024-10-04,114497,"369,375",GFS_EFT_NOTICE,114497,0,WAVE_BILL_PAYMENT_972
992,2024-10-01,33907,394,WAVE_MATCHES,33907,0,WAVE_BILL_PAYMENT_992
993,2024-09-27,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_993
994,2024-09-27,90541,"358,363,366",GFS_EFT_NOTICE,90541,0,WAVE_BILL_PAYMENT_994
1011,2024-09-20,56159,"351,352",GFS_EFT_NOTICE,56159,0,WAVE_BILL_PAYMENT_1011
1031,2024-09-13,45207,342,GFS_EFT_NOTICE,45207,0,WAVE_BILL_PAYMENT_1031
1034,2024-09-11,40802,339,WAVE_MATCHES,40802,0,WAVE_BILL_PAYMENT_1034
1062,2024-08-30,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1062
1065,2024-08-23,12312,330,GFS_EFT_NOTICE,12312,0,WAVE_BILL_PAYMENT_1065
1070,2024-08-16,23665,"326,327",WAVE_BILL_FUNDING,23665,0,WAVE_BILL_PAYMENT_1070
1076,2024-07-31,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1076
1081,2024-07-02,15564,322,WAVE_MATCHES,15554,10,WAVE_BILL_PAYMENT_1081
1082,2024-06-28,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1082
1083,2024-06-21,5020,320,GFS_EFT_NOTICE,5020,0,WAVE_BILL_PAYMENT_1083
1090,2024-06-10,11000,321,WAVE_MATCHES,11000,0,WAVE_BILL_PAYMENT_1090
1092,2024-05-31,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1092
1099,2024-05-24,89103,313,GFS_EFT_NOTICE,89103,0,WAVE_BILL_PAYMENT_1099
1100,2024-05-22,17995,312,WAVE_MATCHES,17995,0,WAVE_BILL_PAYMENT_1100
1105,2024-05-17,76178,"304,305",GFS_EFT_NOTICE,76178,0,WAVE_BILL_PAYMENT_1105
1106,2024-05-16,58390,761,WAVE_MATCHES,58390,0,WAVE_BILL_PAYMENT_1106
1121,2024-05-03,28563,297,GFS_EFT_NOTICE,28563,0,WAVE_BILL_PAYMENT_1121
1123,2024-04-30,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1123
1125,2024-04-26,215152,"286,291",GFS_EFT_NOTICE,215152,0,WAVE_BILL_PAYMENT_1125
1128,2024-04-23,3000,727,WAVE_BILL_FUNDING,3000,0,WAVE_BILL_PAYMENT_1128
1141,2024-04-17,80612,278,WAVE_MATCHES,80612,0,WAVE_BILL_PAYMENT_1141
1143,2024-04-16,123185,760,WAVE_MATCHES,123185,0,WAVE_BILL_PAYMENT_1143
1154,2024-04-12,121334,"274,774",GFS_EFT_NOTICE,121334,0,WAVE_BILL_PAYMENT_1154
1171,2024-04-05,183554,"266,772,773",GFS_EFT_NOTICE,183554,0,WAVE_BILL_PAYMENT_1171
1181,2024-04-01,189672,"249,253,254,263",GFS_EFT_NOTICE,189672,0,WAVE_BILL_PAYMENT_1181
1182,2024-04-01,131100,277,WAVE_BILL_FUNDING,131100,0,WAVE_BILL_PAYMENT_1182
1184,2024-03-28,6500,275,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1184
1185,2024-03-28,58,738,WAVE_BILL_FUNDING,58,0,WAVE_BILL_PAYMENT_1185
1187,2024-03-27,54052,258,WAVE_MATCHES,54052,0,WAVE_BILL_PAYMENT_1187
1201,2024-03-22,92987,"243,245",GFS_EFT_NOTICE,92987,0,WAVE_BILL_PAYMENT_1201
1203,2024-03-20,26913,239,WAVE_MATCHES,26913,0,WAVE_BILL_PAYMENT_1203
1211,2024-03-18,158167,759,WAVE_MATCHES,158167,0,WAVE_BILL_PAYMENT_1211
1214,2024-03-15,84378,233,GFS_EFT_NOTICE,84378,0,WAVE_BILL_PAYMENT_1214
1221,2024-03-13,89436,755,WAVE_BILL_FUNDING,89436,0,WAVE_BILL_PAYMENT_1221
1242,2024-03-08,198337,"216,220,222,224",GFS_EFT_NOTICE,198337,0,WAVE_BILL_PAYMENT_1242
1262,2024-03-01,107190,204,GFS_EFT_NOTICE,107190,0,WAVE_BILL_PAYMENT_1262
1264,2024-02-29,6500,275,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1264
1282,2024-02-23,57055,"193,198",GFS_EFT_NOTICE,57055,0,WAVE_BILL_PAYMENT_1282
1309,2024-02-16,93305,188,GFS_EFT_NOTICE,93305,0,WAVE_BILL_PAYMENT_1309
1320,2024-02-09,139133,"182,770,771",GFS_EFT_NOTICE,139133,0,WAVE_BILL_PAYMENT_1320
1322,2024-02-07,93890,176,WAVE_MATCHES,93890,0,WAVE_BILL_PAYMENT_1322
1331,2024-02-02,60146,171,GFS_EFT_NOTICE,60146,0,WAVE_BILL_PAYMENT_1331
1339,2024-01-31,6500,275,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_1339
1357,2024-01-26,97709,164,GFS_EFT_NOTICE,97709,0,WAVE_BILL_PAYMENT_1357
1363,2024-01-22,185100,744,WAVE_BILL_FUNDING,185100,0,WAVE_BILL_PAYMENT_1363
1374,2024-01-19,68371,159,GFS_EFT_NOTICE,68371,0,WAVE_BILL_PAYMENT_1374
1384,2024-01-12,40934,150,GFS_EFT_NOTICE,40934,0,WAVE_BILL_PAYMENT_1384
1419,2023-12-29,6500,152,SPLIT_PAYMENTS,6500,0,WAVE_BILL_PAYMENT_1419
1420,2023-12-29,218773,"146,147",GFS_EFT_NOTICE,218773,0,WAVE_BILL_PAYMENT_1420
1428,2023-12-27,91733,144,WAVE_MATCHES,91733,0,WAVE_BILL_PAYMENT_1428
1433,2023-12-22,140145,"141,142",GFS_EFT_NOTICE,140145,0,WAVE_BILL_PAYMENT_1433
1441,2023-12-15,45254,137,GFS_EFT_NOTICE,45254,0,WAVE_BILL_PAYMENT_1441
1446,2023-12-12,20000,745,WAVE_BILL_FUNDING,20000,0,WAVE_BILL_PAYMENT_1446
1454,2023-12-08,62755,132,GFS_EFT_NOTICE,62755,0,WAVE_BILL_PAYMENT_1454
1468,2023-12-01,121999,"127,129",GFS_EFT_NOTICE,121999,0,WAVE_BILL_PAYMENT_1468
1481,2023-11-30,6500,152,SPLIT_PAYMENTS,6500,0,WAVE_BILL_PAYMENT_1481
1491,2023-11-24,55960,122,GFS_EFT_NOTICE,55960,0,WAVE_BILL_PAYMENT_1491
1500,2023-11-17,144672,"115,116,117",GFS_EFT_NOTICE,144672,0,WAVE_BILL_PAYMENT_1500
1513,2023-11-10,133843,"105,107,109",GFS_EFT_NOTICE,133843,0,WAVE_BILL_PAYMENT_1513
1525,2023-11-06,9500,749,WAVE_BILL_FUNDING,9500,0,WAVE_BILL_PAYMENT_1525
1528,2023-11-03,83481,96,GFS_EFT_NOTICE,83481,0,WAVE_BILL_PAYMENT_1528
1543,2023-10-31,6500,152,SPLIT_PAYMENTS,6500,0,WAVE_BILL_PAYMENT_1543
1553,2023-10-27,85831,87,GFS_EFT_NOTICE,85831,0,WAVE_BILL_PAYMENT_1553
1600,2023-10-20,99848,79,GFS_EFT_NOTICE,99848,0,WAVE_BILL_PAYMENT_1600
1614,2023-10-13,60503,73,GFS_EFT_NOTICE,60503,0,WAVE_BILL_PAYMENT_1614
1620,2023-10-10,86250,74,WAVE_MATCHES,86250,0,WAVE_BILL_PAYMENT_1620
1623,2023-10-06,104073,"62,63",GFS_EFT_NOTICE,104073,0,WAVE_BILL_PAYMENT_1623
1629,2023-09-29,600,709,SPLIT_PAYMENTS,600,0,WAVE_BILL_PAYMENT_1629
1630,2023-09-29,1950,709,SPLIT_PAYMENTS,1950,0,WAVE_BILL_PAYMENT_1630
1631,2023-09-29,1125,737,WAVE_BILL_FUNDING,1125,0,WAVE_BILL_PAYMENT_1631
1632,2023-09-29,250,709,SPLIT_PAYMENTS,250,0,WAVE_BILL_PAYMENT_1632
1633,2023-09-29,4000,709,SPLIT_PAYMENTS,4000,0,WAVE_BILL_PAYMENT_1633
1634,2023-09-29,132656,"48,55,56",GFS_EFT_NOTICE,132656,0,WAVE_BILL_PAYMENT_1634
1648,2023-09-25,10410,67,WAVE_MATCHES,10410,0,WAVE_BILL_PAYMENT_1648
1649,2023-09-25,53875,65,WAVE_MATCHES,53875,0,WAVE_BILL_PAYMENT_1649
1651,2023-09-22,104634,43,GFS_EFT_NOTICE,104634,0,WAVE_BILL_PAYMENT_1651
1656,2023-09-19,37856,59,WAVE_MATCHES,37856,0,WAVE_BILL_PAYMENT_1656
1665,2023-09-15,36318,36,GFS_EFT_NOTICE,36318,0,WAVE_BILL_PAYMENT_1665
1672,2023-09-11,86250,34,WAVE_MATCHES,86250,0,WAVE_BILL_PAYMENT_1672
1676,2023-08-31,600,31,SPLIT_PAYMENTS,600,0,WAVE_BILL_PAYMENT_1676
1677,2023-08-31,500,31,SPLIT_PAYMENTS,500,0,WAVE_BILL_PAYMENT_1677
1679,2023-08-14,3447,717,WAVE_BILL_FUNDING,3447,0,WAVE_BILL_PAYMENT_1679
1680,2023-08-14,5014,718,WAVE_BILL_FUNDING,5014,0,WAVE_BILL_PAYMENT_1680
1681,2023-08-09,40250,19,WAVE_MATCHES,40250,0,WAVE_BILL_PAYMENT_1681
1683,2023-07-31,600,18,SPLIT_PAYMENTS,600,0,WAVE_BILL_PAYMENT_1683
1684,2023-07-31,125,18,SPLIT_PAYMENTS,125,0,WAVE_BILL_PAYMENT_1684
1685,2023-07-31,200,18,SPLIT_PAYMENTS,200,0,WAVE_BILL_PAYMENT_1685
1686,2023-07-27,7627,16,WAVE_MATCHES,7627,0,WAVE_BILL_PAYMENT_1686
1688,2023-07-05,500,18,SPLIT_PAYMENTS,500,0,WAVE_BILL_PAYMENT_1688
1690,2023-06-30,600,716,SPLIT_PAYMENTS,600,0,WAVE_BILL_PAYMENT_1690
1691,2023-06-30,22,736,WAVE_BILL_FUNDING,22,0,WAVE_BILL_PAYMENT_1691
1692,2023-06-30,200,716,SPLIT_PAYMENTS,200,0,WAVE_BILL_PAYMENT_1692
1693,2023-06-30,125,716,SPLIT_PAYMENTS,125,0,WAVE_BILL_PAYMENT_1693
