id,wave_bill_id,funding_type,bank_txn_id,amount_cents,notes
101,167,BANK_CC_CHAIN,1372,738,Bank payment to card 0318
102,705,BANK_CC_CHAIN,395,13153,Bell paid in advance Apr 11 to card 0318
103,676,BANK_DIRECT,596,6500,Jan 31 ACCOUNT FEE
104,676,BANK_DIRECT,511,6500,Feb 28 ACCOUNT FEE
105,676,BANK_DIRECT,418,6500,Mar 31 ACCOUNT FEE
106,678,BANK_DIRECT,416,600,GPFS Service Charge
107,697,BANK_DIRECT,360,400,GPFS Service Charge
108,698,BANK_DIRECT,353,16477,DELUXE-CHQ ORDER (1 cent diff)
109,510,BANK_DIRECT,721,10061,Paid $100.61 after $48.12 credit memo 2597723
110,280,BANK_CC_CHAIN,1174,81189,Payment to MC Apr 4
111,693,REVENUE_DEDUCTION,,1704,Nayax vending machine monthly fee - deducted from revenue
112,706,REVENUE_DEDUCTION,,1704,Nayax vending machine monthly fee - deducted from revenue
113,543,BANK_CC_CHAIN,501,41283,Amalgamated Shopify subscription charges - paid to Visa Mar 5
114,541,REVENUE_DEDUCTION,,220804,Shopify 2024 CC fees - deducted from payouts
116,277,BANK_DIRECT,1182,131100,E-transfer to Markie B
117,720,BANK_DIRECT,909,50000,"GFS cheese curds cash COGS reimbursed to Thomas (split of $3,000 e-transfer)"
118,721,BANK_DIRECT,909,50000,"GFS cheese curds cash COGS reimbursed to Thomas (split of $3,000 e-transfer)"
119,768,BANK_DIRECT,1615,86250,"GFS damaged salvage COGS reimbursed to Dwayne (oil, chicken, cheese curds)"
