id,wave_bill_id,match_type,bank_txn_id,cc_txn_id,cc_payment_txn_id,confidence,match_method,date_diff_days,amount_diff_cents,notes
92,194,CC_PURCHASE,,1292,1326,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
93,197,CC_PURCHASE,,3863,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
94,200,CC_PURCHASE,,1283,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
95,201,CC_PURCHASE,,1277,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
96,202,CC_PURCHASE,,1280,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
97,203,CC_PURCHASE,,1274,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
98,206,CC_PURCHASE,,1267,1302,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
99,208,CC_PURCHASE,,1268,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
100,210,CC_PURCHASE,,3852,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
101,211,CC_PURCHASE,,1264,,HIGH,CC_PURCHASE_AMOUNT_4D,4,0,Card 0318 [Auto-approved: exact amount match]
102,217,CC_PURCHASE,,1259,1289,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
103,218,CC_PURCHASE,,1258,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
104,219,CC_PURCHASE,,1256,1288,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
105,226,CC_PURCHASE,,3839,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
106,227,CC_PURCHASE,,1239,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
107,228,CC_PURCHASE,,1240,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
108,229,CC_PURCHASE,,1235,1270,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
109,231,CC_PURCHASE,,3829,1268,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
110,234,CC_PURCHASE,,1219,1250,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
111,236,CC_PURCHASE,,1218,1249,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
112,238,CC_PURCHASE,,1214,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
113,242,CC_PURCHASE,,3814,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
114,244,CC_PURCHASE,,3808,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
115,248,CC_PURCHASE,,1205,1235,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
116,255,CC_PURCHASE,,3805,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
117,256,CC_PURCHASE,,3802,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
118,260,CC_PURCHASE,,3797,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
119,261,CC_PURCHASE,,1190,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
120,262,CC_PURCHASE,,1189,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
121,264,CC_PURCHASE,,1188,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
122,265,CC_PURCHASE,,1187,1206,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
123,267,CC_PURCHASE,,1179,1204,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
124,268,CC_PURCHASE,,3782,1195,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
125,270,CC_PURCHASE,,1174,1193,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
126,271,CC_PURCHASE,,1170,1194,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
127,279,CC_PURCHASE,,3761,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
128,282,CC_PURCHASE,,3756,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 7022
129,283,CC_PURCHASE,,3757,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
131,285,CC_PURCHASE,,3755,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 7022
132,287,CC_PURCHASE,,3751,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
133,288,CC_PURCHASE,,3749,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
134,289,CC_PURCHASE,,3742,1157,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
135,290,CC_PURCHASE,,3744,1155,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
136,292,CC_PURCHASE,,1143,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match]
137,293,CC_PURCHASE,,1144,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
138,294,CC_PURCHASE,,1140,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
139,295,CC_PURCHASE,,1141,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
140,298,CC_PURCHASE,,1124,1135,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
141,299,CC_PURCHASE,,1125,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
142,300,CC_PURCHASE,,1123,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
143,302,CC_PURCHASE,,1114,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
144,306,CC_PURCHASE,,1095,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
145,307,CC_PURCHASE,,1094,1118,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match]
146,308,CC_PURCHASE,,1093,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
147,309,CC_PURCHASE,,1086,1115,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
148,311,CC_PURCHASE,,3695,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
149,315,CC_PURCHASE,,1059,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
150,316,CC_PURCHASE,,1036,1097,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
151,318,CC_PURCHASE,,1025,1093,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
152,319,CC_PURCHASE,,1024,1094,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match]
153,325,CC_PURCHASE,,962,1079,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
154,329,CC_PURCHASE,,916,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
155,331,CC_PURCHASE,,913,1072,HIGH,CC_PURCHASE_AMOUNT_0D,0,0,Card 0318 [Auto-approved: exact amount match]
156,333,CC_PURCHASE,,3551,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
157,335,CC_PURCHASE,,879,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 4337
158,337,CC_PURCHASE,,872,1054,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
159,340,CC_PURCHASE,,3533,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
160,348,CC_PURCHASE,,3524,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
161,350,CC_PURCHASE,,3519,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
162,354,CC_PURCHASE,,3515,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
163,356,CC_PURCHASE,,3510,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
164,357,CC_PURCHASE,,3507,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
165,359,CC_PURCHASE,,3506,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
166,360,CC_PURCHASE,,856,1023,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
167,361,CC_PURCHASE,,3505,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
168,367,CC_PURCHASE,,3486,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
169,368,CC_PURCHASE,,3485,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
170,378,CC_PURCHASE,,3477,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
171,380,CC_PURCHASE,,3475,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
172,384,CC_PURCHASE,,3473,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
173,387,CC_PURCHASE,,3471,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
174,388,CC_PURCHASE,,3467,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
175,395,CC_PURCHASE,,3458,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
176,401,CC_PURCHASE,,3470,,HIGH,CC_PURCHASE_AMOUNT_5D,-5,0,Card 7022 [Auto-approved: exact amount match]
177,405,CC_PURCHASE,,3439,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
178,406,CC_PURCHASE,,3430,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
179,407,CC_PURCHASE,,3434,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
180,408,CC_PURCHASE,,3432,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
181,413,CC_PURCHASE,,3417,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
182,415,CC_PURCHASE,,3415,,HIGH,CC_PURCHASE_AMOUNT_4D,4,0,Card 7022 [Auto-approved: exact amount match]
183,416,CC_PURCHASE,,813,952,HIGH,CC_PURCHASE_AMOUNT_4D,4,0,Card 0318 [Auto-approved: exact amount match]
184,422,CC_PURCHASE,,808,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 4337 [Auto-approved: exact amount match]
186,426,CC_PURCHASE,,3407,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
187,427,CC_PURCHASE,,3402,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
188,432,CC_PURCHASE,,3399,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
189,436,CC_PURCHASE,,3391,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
190,440,CC_PURCHASE,,779,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 4337
191,441,CC_PURCHASE,,3387,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
192,444,CC_PURCHASE,,781,889,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match]
193,446,CC_PURCHASE,,3382,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
194,451,CC_PURCHASE,,3384,,EXACT,CC_PURCHASE_VENDOR_0D,0,0,Card 7022
195,454,CC_PURCHASE,,3374,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
196,456,CC_PURCHASE,,3369,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
197,458,CC_PURCHASE,,775,873,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match]
198,464,CC_PURCHASE,,3361,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
199,466,CC_PURCHASE,,755,841,HIGH,CC_PURCHASE_AMOUNT_4D,4,0,Card 0318 [Auto-approved: exact amount match]
200,469,CC_PURCHASE,,3357,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
201,470,CC_PURCHASE,,3356,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
202,473,CC_PURCHASE,,3355,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
203,477,CC_PURCHASE,,3349,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
204,478,CC_PURCHASE,,3347,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
205,480,CC_PURCHASE,,3341,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
206,483,CC_PURCHASE,,3330,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
207,488,CC_PURCHASE,,3327,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 8154
208,489,CC_PURCHASE,,732,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 4337 [Auto-approved: exact amount match]
209,491,CC_PURCHASE,,3323,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
210,492,CC_PURCHASE,,3321,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
211,494,CC_PURCHASE,,3320,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 8154 [Auto-approved: exact amount match]
212,496,CC_PURCHASE,,728,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 4337 [Auto-approved: exact amount match]
213,499,CC_PURCHASE,,3306,775,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 8154
214,500,CC_PURCHASE,,3309,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
215,508,CC_PURCHASE,,3280,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 8154 [Auto-approved: exact amount match]
216,511,CC_PURCHASE,,3290,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
217,515,CC_PURCHASE,,3279,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
218,519,CC_PURCHASE,,3275,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
219,524,CC_PURCHASE,,707,740,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
220,527,CC_PURCHASE,,3251,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
221,532,CC_PURCHASE,,3248,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
222,533,CC_PURCHASE,,3237,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
223,535,CC_PURCHASE,,3218,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
224,545,CC_PURCHASE,,3182,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
225,549,CC_PURCHASE,,3176,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
226,550,CC_PURCHASE,,683,679,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
227,551,CC_PURCHASE,,3172,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
228,552,CC_PURCHASE,,3174,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
229,553,CC_PURCHASE,,3173,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
230,558,CC_PURCHASE,,3158,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
231,559,CC_PURCHASE,,3159,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 7022 [Auto-approved: exact amount match]
232,564,CC_PURCHASE,,3154,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
233,565,CC_PURCHASE,,3153,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
