id,invoice_date,vendor_raw,vendor_normalized,vendor_category,total_cents,tax_cents,net_cents,invoice_number,source_row
29,2023-08-21,Costco - Bill 22134501000312308211156,costco bill 22134501000312308211156,COSTCO,112951,13254,99697,22134501000312308211156,30
30,2023-08-30,Amazon - Bill ,amazon bill,AMAZON,1954,255,1699,,31
31,2023-08-31,CIBC - Bill August Fees,cibc bill august fees,BANK_FEE,1100,0,1100,,32
32,2023-09-01,Acandian Printing - Bill ,acandian printing bill,OTHER,5175,675,4500,,33
33,2023-09-01,Walmart - Bill ,walmart bill,WALMART,2561,195,2366,,34
34,2023-09-01,Town of Amherst - Bill ,town of amherst bill,RENT,86250,11250,75000,,35
35,2023-09-01,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,194291,21915,172376,,36
36,2023-09-01,GFS - Bill 9003246118,gfs bill 9003246118,GFS,36318,0,36318,9003246118,37
37,2023-09-02,Amazon - Bill ,amazon bill,AMAZON,2995,391,2604,,38
38,2023-09-02,Amazon - Bill ,amazon bill,AMAZON,2995,391,2604,,39
39,2023-09-03,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,30397,1383,29014,,40
40,2023-09-07,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1734,0,1734,,41
41,2023-09-07,Costco - Bill ,costco bill,COSTCO,9254,1207,8047,,42
42,2023-09-07,Capital Foods - Bill 2520102,capital foods bill 2520102,CAPITAL,103745,10047,93698,2520102,43
43,2023-09-07,GFS - Bill 9003327039,gfs bill 9003327039,GFS,104634,285,104349,9003327039,44
44,2023-09-08,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2607,0,2607,,45
45,2023-09-08,Costco - Bill 22134501101702309081257,costco bill 22134501101702309081257,COSTCO,152352,14839,137513,22134501101702309081257,46
46,2023-09-08,Dollarama - Bill ,dollarama bill,DOLLARAMA,13790,1797,11993,,47
47,2023-09-09,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,10740,1244,9496,,48
48,2023-09-11,GFS - Bill 9003386079,gfs bill 9003386079,GFS,24457,579,23878,9003386079,49
49,2023-09-12,Canadian Tire Gas - Bill ,canadian tire gas bill,OTHER,7010,914,6096,,50
50,2023-09-12,Canadian Tire Gas - Bill ,canadian tire gas bill,OTHER,7010,914,6096,,51
51,2023-09-14,Irving - Bill ,irving bill,OTHER,5876,766,5110,,52
52,2023-09-15,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,7684,924,6760,,53
54,2023-09-15,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2831,100,2731,,55
55,2023-09-15,GFS - Bill 9003462485,gfs bill 9003462485,GFS,27323,894,26429,9003462485,56
56,2023-09-15,GFS - Bill 9003468379,gfs bill 9003468379,GFS,80876,0,80876,9003468379,57
57,2023-09-17,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,613,80,533,,58
58,2023-09-18,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8437,827,7610,,59
59,2023-09-18,Covered Bridge - Bill ,covered bridge bill,COVERED_BRIDGE,37856,4914,32942,,60
60,2023-09-18,Amazon - Bill ,amazon bill,AMAZON,2532,330,2202,,61
61,2023-09-21,Costco - Bill 22134501302212309211505,costco bill 22134501302212309211505,COSTCO,234693,24603,210090,22134501302212309211505,62
62,2023-09-21,GFS - Bill 9003558293,gfs bill 9003558293,GFS,97396,2338,95058,9003558293,63
63,2023-09-21,GFS - Bill 9003552766,gfs bill 9003552766,GFS,6677,285,6392,9003552766,64
64,2023-09-23,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,988,0,988,,65
65,2023-09-24,Dollarama - Bill ,dollarama bill,DOLLARAMA,53875,7027,46848,,66
66,2023-09-24,Walmart - Bill ,walmart bill,WALMART,4018,524,3494,,67
67,2023-09-24,Walmart - Bill ,walmart bill,WALMART,10410,1170,9240,,68
68,2023-09-25,Dollarama - Bill ,dollarama bill,DOLLARAMA,5635,735,4900,,69
69,2023-09-25,Canadian Tire - Bill ,canadian tire bill,OTHER,3771,492,3279,,70
70,2023-09-26,Mondoux - Bill 8100361,mondoux bill 8100361,MONDOUX,86705,10442,76263,8100361,71
71,2023-09-27,Costco - Bill 22134501202012309271442,costco bill 22134501202012309271442,COSTCO,121536,9261,112275,22134501202012309271442,72
72,2023-09-28,Capital Foods - Bill 2523999,capital foods bill 2523999,CAPITAL,109656,7050,102606,2523999,73
73,2023-09-28,GFS - Bill 9003665333,gfs bill 9003665333,GFS,60503,741,59762,9003665333,74
74,2023-10-01,Town of Amherst - Bill ,town of amherst bill,RENT,86250,11250,75000,,75
75,2023-10-01,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,10403,1169,9234,,76
76,2023-10-03,Amazon - Bill ,amazon bill,AMAZON,1954,255,1699,,77
77,2023-10-04,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2996,391,2605,,78
78,2023-10-04,Amazon - Bill ,amazon bill,AMAZON,7638,306,7332,,79
79,2023-10-05,GFS - Bill 9003775625,gfs bill 9003775625,GFS,99848,4160,95688,9003775625,80
80,2023-10-06,Costco - Bill 22055101203462310061725,costco bill 22055101203462310061725,COSTCO,85132,8025,77107,22055101203462310061725,81
81,2023-10-06,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,10193,720,9473,,82
82,2023-10-09,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,10196,720,9476,,83
83,2023-10-09,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8249,195,8054,,84
84,2023-10-09,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8249,195,8054,,85
85,2023-10-10,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1024,134,890,,86
86,2023-10-12,Capital Foods - Bill 2526446,capital foods bill 2526446,CAPITAL,104085,13576,90509,2526446,87
87,2023-10-12,GFS - Bill 9003882687,gfs bill 9003882687,GFS,85831,2344,83487,9003882687,88
88,2023-10-13,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,22407,2594,19813,,89
89,2023-10-14,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,6254,92,6162,,90
90,2023-10-14,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,6254,92,6162,,91
91,2023-10-15,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4827,293,4534,,92
92,2023-10-16,Walmart - Bill ,walmart bill,WALMART,23673,2955,20718,,93
94,2023-10-17,Amazon - Bill,amazon bill,AMAZON,16785,195,16590,,95
95,2023-10-18,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1293,0,1293,,96
96,2023-10-19,GFS - Bill 9003993508,gfs bill 9003993508,GFS,83481,267,83214,9003993508,97
97,2023-10-20,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5216,303,4913,,98
98,2023-10-21,Amazon - Bill ,amazon bill,AMAZON,3449,450,2999,,99
99,2023-10-21,Costco - Bill ,costco bill,COSTCO,6254,816,5438,,100
100,2023-10-21,Costco - Bill 22134501402602310211624,costco bill 22134501402602310211624,COSTCO,137182,11657,125525,22134501402602310211624,101
101,2023-10-24,C.E. Harrison Home Hardware - Bill ,c e harrison home hardware bill,OTHER,3366,439,2927,,102
102,2023-10-24,C.E. Harrison Home Hardware - Bill ,c e harrison home hardware bill,OTHER,1432,187,1245,,103
103,2023-10-24,C.E. Harrison Home Hardware - Bill ,c e harrison home hardware bill,OTHER,2753,359,2394,,104
104,2023-10-24,Mondoux - Bill 8100383,mondoux bill 8100383,MONDOUX,40919,5337,35582,8100383,105
105,2023-10-25,GFS - Bill 9004092329,gfs bill 9004092329,GFS,4859,634,4225,9004092329,106
106,2023-10-25,Black Cat Importers - Bill 19963,black cat importers bill 19963,OTHER,63181,8249,54932,19963,107
107,2023-10-26,GFS - Bill 9004106655,gfs bill 9004106655,GFS,85957,592,85365,9004106655,108
108,2023-10-27,Costco - Bill 22134501301362310271311,costco bill 22134501301362310271311,COSTCO,197798,21085,176713,22134501301362310271311,109
109,2023-10-27,GFS - Bill 9004135560,gfs bill 9004135560,GFS,43027,1663,41364,9004135560,110
110,2023-10-31,Exotics Wholesale - Bill EW2762,exotics wholesale bill ew2762,OTHER,248119,32363,215756,,111
111,2023-11-01,Town of Amherst - Bill ,town of amherst bill,RENT,86250,11250,75000,,112
112,2023-11-01,Amazon - Bill ,amazon bill,AMAZON,2299,300,1999,,113
113,2023-11-02,Costco - Bill 22134500804842311022002,costco bill 22134500804842311022002,COSTCO,136617,14343,122274,22134500804842311022002,114
114,2023-11-02,Costco - Bill 22134519400272311021858,costco bill 22134519400272311021858,COSTCO,13800,1800,12000,22134519400272311021858,115
115,2023-11-02,GFS - Bill 9004259902,gfs bill 9004259902,GFS,88092,267,87825,9004259902,116
116,2023-11-03,GFS - Bill 9004309092,gfs bill 9004309092,GFS,14495,1891,12604,9004309092,117
117,2023-11-03,GFS - Bill 9004290341,gfs bill 9004290341,GFS,42085,1663,40422,9004290341,118
118,2023-11-03,Dollarama - Bill 161.21,dollarama bill 161 21,DOLLARAMA,18539,2418,16121,161,119
119,2023-11-03,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,7601,585,7016,,120
120,2023-11-04,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,11092,1275,9817,,121
121,2023-11-07,Curly's Sports and Supplements - Bill D17,curly s sports and supplements bill d17,OTHER,123251,16076,107175,,122
122,2023-11-08,GFS - Bill 9004423490,gfs bill 9004423490,GFS,55960,675,55285,9004423490,123
123,2023-11-08,Amherst Country Store - Bill ,amherst country store bill,AMHERST_COUNTRY_STORE,5749,750,4999,,124
124,2023-11-10,Costco - Bill 22134501203702311101654,costco bill 22134501203702311101654,COSTCO,165922,16990,148932,22134501203702311101654,125
125,2023-11-15,Mondoux - Bill ,mondoux bill,MONDOUX,33135,4322,28813,,126
126,2023-11-16,GFS - Bill 9005534423,gfs bill 9005534423,GFS,200000,0,200000,9005534423,127
127,2023-11-16,GFS - Bill 9004638160,gfs bill 9004638160,GFS,96645,2533,94112,9004638160,128
128,2023-11-17,Costco - Bill 22134500703462311171643,costco bill 22134500703462311171643,COSTCO,212938,20811,192127,22134500703462311171643,129
129,2023-11-17,GFS - Bill 9004686201,gfs bill 9004686201,GFS,25354,0,25354,9004686201,130
130,2023-11-17,Costco - Bill ,costco bill,COSTCO,10230,1334,8896,,131
131,2023-11-20,Capital Foods - Bill 2530298,capital foods bill 2530298,CAPITAL,92900,0,92900,2530298,132
132,2023-11-24,GFS - Bill 9004838078,gfs bill 9004838078,GFS,62755,1184,61571,9004838078,133
133,2023-11-25,Canada Mats - Bill ,canada mats bill,OTHER,14249,1499,12750,,134
134,2023-11-28,Amazon - Bill ,amazon bill,AMAZON,15899,0,15899,,135
135,2023-11-30,Amazon - Bill ,amazon bill,AMAZON,1148,150,998,,136
136,2023-12-01,Town of Amherst - Bill ,town of amherst bill,RENT,86250,11250,75000,,137
137,2023-12-01,GFS - Bill 9005011016,gfs bill 9005011016,GFS,45254,640,44614,9005011016,138
138,2023-12-03,Costco - Bill 22134500801272312031227,costco bill 22134500801272312031227,COSTCO,119488,8949,110539,22134500801272312031227,139
139,2023-12-04,Gov't of Nova Scotia - Bill TR1004676,gov t of nova scotia bill tr1004676,GOV_NS,27410,0,27410,,140
140,2023-12-05,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3608,471,3137,,141
141,2023-12-07,GFS - Bill 9005163888,gfs bill 9005163888,GFS,93692,345,93347,9005163888,142
142,2023-12-08,GFS - Bill 9005216555,gfs bill 9005216555,GFS,46453,0,46453,9005216555,143
143,2023-12-08,Costco - Bill 22134500703182312081530,costco bill 22134500703182312081530,COSTCO,121236,13002,108234,22134500703182312081530,144
144,2023-12-11,Capital Foods - Bill 2536709,capital foods bill 2536709,CAPITAL,91733,1632,90101,2536709,145
145,2023-12-11,Mondoux - Bill ,mondoux bill,MONDOUX,42635,4758,37877,,146
146,2023-12-12,GFS - Bill 9005299395,gfs bill 9005299395,GFS,63072,1663,61409,9005299395,147
147,2023-12-14,GFS - Bill 9005357713,gfs bill 9005357713,GFS,155701,5208,150493,9005357713,148
148,2023-12-19,GFS - Bill 9005510560,gfs bill 9005510560,GFS,47583,3074,44509,9005510560,149
150,2023-12-29,GFS - Bill 9005693526,gfs bill 9005693526,GFS,40934,0,40934,9005693526,151
151,2023-12-31,Shopify - Bill canteen order screen,shopify bill canteen order screen,OTHER,12818,1619,11199,,152
152,2023-12-31,CIBC - Bill ,cibc bill,BANK_FEE,19500,0,19500,,153
153,2024-01-04,Ali Express - Bill ,ali express bill,OTHER,3169,0,3169,,154
154,2024-01-04,Ali Express - Bill ,ali express bill,OTHER,1017,0,1017,,155
155,2024-01-04,Ali Express - Bill ,ali express bill,OTHER,2005,0,2005,,156
156,2024-01-04,Ali Express - Bill ,ali express bill,OTHER,820,0,820,,157
157,2024-01-05,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,7414,468,6946,,158
158,2024-01-05,Dollarama - Bill ,dollarama bill,DOLLARAMA,31240,4075,27165,,159
159,2024-01-05,GFS - Bill 9005827880,gfs bill 9005827880,GFS,68371,0,68371,9005827880,160
160,2024-01-05,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,28865,3765,25100,,161
161,2024-01-06,Costco - Bill ,costco bill,COSTCO,199638,18903,180735,,162
162,2024-01-06,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3842,0,3842,,163
163,2024-01-07,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,6375,180,6195,,164
164,2024-01-08,GFS - Bill 9005873404,gfs bill 9005873404,GFS,97709,345,97364,9005873404,165
165,2024-01-09,Curly's Sports and Supplements - Bill 2220169,curly s sports and supplements bill 2220169,OTHER,27600,3600,24000,2220169,166
166,2024-01-14,GFS - Bill 9005546522,gfs bill 9005546522,GFS,40000,0,40000,9005546522,167
167,2024-01-14,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,738,0,738,,168
168,2024-01-16,Amazon - Bill ,amazon bill,AMAZON,3999,1108,2891,,169
169,2024-01-16,Amazon - Bill ,amazon bill,AMAZON,8497,0,8497,,170
170,2024-01-18,Walmart - Bill ,walmart bill,WALMART,4823,629,4194,,171
171,2024-01-18,GFS - Bill 9006132497,gfs bill 9006132497,GFS,60156,1184,58972,9006132497,172
172,2024-01-19,Costco - Bill 22134500602282401191441,costco bill 22134500602282401191441,COSTCO,152197,16509,135688,22134500602282401191441,173
173,2024-01-20,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5449,711,4738,,174
174,2024-01-20,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,738,0,738,,175
175,2024-01-20,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2892,0,2892,,176
176,2024-01-22,Capital Foods - Bill 2542814,capital foods bill 2542814,CAPITAL,93890,6144,87746,2542814,177
177,2024-01-23,Dollarama - Bill ,dollarama bill,DOLLARAMA,1179,154,1025,,178
178,2024-01-24,Digital Inspiration - Bill ,digital inspiration bill,OTHER,14038,0,14038,,179
179,2024-01-24,Costco - Bill ,costco bill,COSTCO,148980,14603,134377,,180
180,2024-01-25,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1107,0,1107,,181
181,2024-01-25,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2588,0,2588,,182
182,2024-01-25,GFS - Bill 9006298062,gfs bill 9006298062,GFS,87739,1663,86076,9006298062,183
183,2024-01-27,My Commerce - Bill ,my commerce bill,OTHER,6780,884,5896,,184
184,2024-01-27,Circle K - Bill ,circle k bill,OTHER,3013,393,2620,,185
185,2024-01-27,Bimbo Canada - Bill ,bimbo canada bill,OTHER,8384,1094,7290,,186
186,2024-01-27,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,5352,495,4857,,187
187,2024-01-31,Town of Amherst - Bill January Rent,town of amherst bill january rent,RENT,86250,11250,75000,,188
188,2024-02-01,GFS - Bill 9006467889,gfs bill 9006467889,GFS,93305,3074,90231,9006467889,189
189,2024-02-01,Costco - Bill ,costco bill,COSTCO,187393,17678,169715,,190
190,2024-02-01,Esso - Bill ,esso bill,OTHER,4001,522,3479,,191
191,2024-02-01,Town of Amherst - Bill FEbruary REnt,town of amherst bill february rent,RENT,86250,11250,75000,,192
192,2024-02-03,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8203,274,7929,,193
193,2024-02-07,GFS - Bill 9006623852,gfs bill 9006623852,GFS,46712,0,46712,9006623852,194
194,2024-02-07,Dollarama - Bill ,dollarama bill,DOLLARAMA,20593,2686,17907,,195
195,2024-02-07,GFS - Bill ,gfs bill,GFS,20000,0,20000,,196
196,2024-02-08,Canadian Tire Gas - Bill ,canadian tire gas bill,OTHER,5743,749,4994,,197
197,2024-02-09,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,24971,2332,22639,,198
198,2024-02-09,GFS - Bill 9006683806,gfs bill 9006683806,GFS,10343,0,10343,9006683806,199
199,2024-02-10,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4140,116,4024,,200
200,2024-02-10,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,3619,103,3516,,201
201,2024-02-11,Gov't of Nova Scotia - Bill TR1111807,gov t of nova scotia bill tr1111807,GOV_NS,6105,796,5309,,202
202,2024-02-11,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1300,73,1227,,203
203,2024-02-11,Walmart - Bill ,walmart bill,WALMART,1147,150,997,,204
204,2024-02-12,GFS - Bill 9006727793,gfs bill 9006727793,GFS,107190,2308,104882,9006727793,205
205,2024-02-14,Circle K - Bill ,circle k bill,OTHER,13335,1739,11596,,206
206,2024-02-15,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,96143,8620,87523,,207
207,2024-02-15,Jeff Bembridge - Bill ,jeff bembridge bill,OTHER,2000,0,2000,,208
208,2024-02-15,IFoodEquipment - Bill ,ifoodequipment bill,OTHER,10554,1377,9177,,209
209,2024-02-15,Cafe Archibald - Bill,cafe archibald bill,OTHER,5292,585,4707,,210
210,2024-02-15,Costco - Bill ,costco bill,COSTCO,224931,21649,203282,,211
211,2024-02-16,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,5996,0,5996,,212
212,2024-02-16,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2370,0,2370,,213
213,2024-02-17,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,16663,1330,15333,,214
214,2024-02-17,Dollarama - Bill ,dollarama bill,DOLLARAMA,36076,4706,31370,,215
215,2024-02-17,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5061,0,5061,,216
216,2024-02-18,GFS - Bill 9006903744,gfs bill 9006903744,GFS,135781,4990,130791,9006903744,217
217,2024-02-18,Christmas Discounters - Bill ,christmas discounters bill,OTHER,11982,1563,10419,,218
218,2024-02-18,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,38101,4469,33632,,219
219,2024-02-19,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5130,174,4956,,220
220,2024-02-19,GFS - Bill 9006903547,gfs bill 9006903547,GFS,21588,0,21588,9006903547,221
221,2024-02-20,Electric Kitty - Bill ,electric kitty bill,OTHER,110000,0,110000,,222
222,2024-02-22,GFS - Bill 9007010687,gfs bill 9007010687,GFS,35019,2287,32732,9007010687,223
223,2024-02-22,Curly's Sports and Supplements - Bill 2365969,curly s sports and supplements bill 2365969,OTHER,22942,2992,19950,2365969,224
224,2024-02-23,GFS - Bill 9007044619,gfs bill 9007044619,GFS,5949,0,5949,9007044619,225
225,2024-02-24,Shell Gas - Bill ,shell gas bill,OTHER,13576,1771,11805,,226
226,2024-02-24,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,9897,0,9897,,227
227,2024-02-24,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4796,365,4431,,228
228,2024-02-24,Christmas Discounters - Bill ,christmas discounters bill,OTHER,2995,0,2995,,229
229,2024-02-25,Christmas Discounters - Bill ,christmas discounters bill,OTHER,5988,0,5988,,230
230,2024-02-26,Ali Express - Bill ,ali express bill,OTHER,5116,0,5116,,231
231,2024-02-27,Costco - Bill ,costco bill,COSTCO,166598,15009,151589,,232
232,2024-02-27,We Like Work - Bill ,we like work bill,OTHER,30750,4011,26739,,233
233,2024-03-01,GFS - Bill 9007262291,gfs bill 9007262291,GFS,84378,773,83605,9007262291,234
234,2024-03-01,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4352,98,4254,,235
235,2024-03-01,Town of Amherst - Bill March Rent,town of amherst bill march rent,RENT,86250,11250,75000,,236
236,2024-03-02,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1207,0,1207,,237
237,2024-03-03,Costco - Bill ,costco bill,COSTCO,80499,10500,69999,,238
238,2024-03-04,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2130,278,1852,,239
239,2024-03-05,Capital Foods - Bill 2549756,capital foods bill 2549756,CAPITAL,26913,2883,24030,2549756,240
240,2024-03-05,Costco - Bill ,costco bill,COSTCO,29889,3899,25990,,241
241,2024-03-05,Shell Gas - Bill ,shell gas bill,OTHER,8954,1168,7786,,242
242,2024-03-05,Costco - Bill ,costco bill,COSTCO,123876,10888,112988,,243
243,2024-03-07,GFS - Bill 9007456012,gfs bill 9007456012,GFS,87930,330,87600,9007456012,244
244,2024-03-07,Dollarama - Bill ,dollarama bill,DOLLARAMA,80755,10531,70224,,245
245,2024-03-08,GFS - Bill 9007510570,gfs bill 9007510570,GFS,5057,0,5057,9007510570,246
246,2024-03-08,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3194,156,3038,,247
247,2024-03-09,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5573,5,5568,,248
248,2024-03-09,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2194,0,2194,,249
249,2024-03-11,GFS - Bill 9007568865,gfs bill 9007568865,GFS,62355,1664,60691,9007568865,250
250,2024-03-12,Curly's Sports and Supplements - Bill 2423469,curly s sports and supplements bill 2423469,OTHER,36432,4752,31680,2423469,251
251,2024-03-12,Curly's Sports and Supplements - Bill 2437469,curly s sports and supplements bill 2437469,OTHER,22770,2970,19800,2437469,252
252,2024-03-12,Curly's Sports and Supplements - Bill 2425069,curly s sports and supplements bill 2425069,OTHER,17250,2250,15000,2425069,253
253,2024-03-13,GFS - Bill 9007669356,gfs bill 9007669356,GFS,64561,592,63969,9007669356,254
254,2024-03-13,GFS - Bill 9007713769,gfs bill 9007713769,GFS,28028,0,28028,9007713769,255
255,2024-03-13,Costco - Bill ,costco bill,COSTCO,161259,14313,146946,,256
256,2024-03-13,Costco - Bill ,costco bill,COSTCO,63249,8250,54999,,257
257,2024-03-13,Shell Gas - Bill ,shell gas bill,OTHER,13550,1767,11783,,258
258,2024-03-13,Capital Foods - Bill 2550997,capital foods bill 2550997,CAPITAL,54052,3248,50804,2550997,259
259,2024-03-14,Webstaurant Store - Bill 95629480,webstaurant store bill 95629480,OTHER,8086,0,8086,95629480,260
260,2024-03-14,Home Hardware - Spring Street - Bill ,home hardware spring street bill,OTHER,4595,599,3996,,261
261,2024-03-15,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,13328,419,12909,,262
262,2024-03-15,Walmart - Bill ,walmart bill,WALMART,18239,1816,16423,,263
263,2024-03-15,GFS - Bill 9007763983,gfs bill 9007763983,GFS,34728,0,34728,9007763983,264
264,2024-03-16,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4383,0,4383,,265
265,2024-03-16,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,22743,1319,21424,,266
266,2024-03-20,GFS - Bill 9007911798,gfs bill 9007911798,GFS,79112,2441,76671,9007911798,267
267,2024-03-20,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5421,93,5328,,268
268,2024-03-21,Costco - Bill ,costco bill,COSTCO,132574,9938,122636,,269
269,2024-03-21,UPS - Bill ,ups bill,OTHER,3146,270,2876,,270
270,2024-03-22,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4118,93,4025,,271
271,2024-03-24,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,23656,1626,22030,,272
272,2024-03-25,Walmart - Bill ,walmart bill,WALMART,14362,1644,12718,,273
273,2024-03-25,Circle K - Bill ,circle k bill,OTHER,13475,1758,11717,,274
274,2024-03-28,GFS - Bill 9008171261,gfs bill 9008171261,GFS,126391,538,125853,9008171261,275
275,2024-03-31,CIBC - Bill ,cibc bill,BANK_FEE,19500,0,19500,,276
276,2024-04-01,Town of Amherst - Bill april rent,town of amherst bill april rent,RENT,40250,5250,35000,,277
277,2024-04-02,Markis Bus Tours - Bill ,markis bus tours bill,OTHER,131100,17100,114000,,278
278,2024-04-02,Capital Foods - Bill 2554160,capital foods bill 2554160,CAPITAL,80612,4881,75731,2554160,279
279,2024-04-03,Costco - Bill ,costco bill,COSTCO,125173,15120,110053,,280
280,2024-04-03,Costco - Bill,costco bill,COSTCO,81189,0,81189,,281
